ID	Traditional	Pinyin	POS	Meaning
B3L10-II-26	告	gào	V	to sue, bring suit against
B3L10-II-27	平均	píngjūn	Adv	average
B3L10-II-28	醫療	yīliáo	N	medical treatment, health care
B3L10-II-29	怪	guài	V	to blame
B3L10-II-30	愛林	Àilín		female person's name
B3L10-II-31	微整形	wéizhěngxíng		micro-cosmetic surgery, plastic surgery, face contouring
B3L10-II-32	數一數二	shǔyī shǔ'èr		one of the top or best in..., leading...
B3L10-II-33	人際關係	rénjì guānxì		interpersonal relations
B3L10-II-34	動不動就	dòng bú dòng jiù		to do something impetuously
B3L10-II-35	找回	zhǎo huí		to rediscover, to retrieve
B3L11-I-01	建	jiàn	V	to build (Classical Chinese)
B3L11-I-02	重建	chóngjiàn	V	to rebuild
B3L11-I-03	到底	dàodǐ	Adv	in the end, after all
B3L11-I-04	世紀	shìjì	N	century
B3L11-I-05	貿易	màoyì	N	trade
B3L11-I-06	商業	shāngyè	N	commerce, business
B3L11-I-07	利益	lìyì	N	gains, benefit
B3L11-I-08	派	pài	V	to send, dispatch
B3L11-I-09	軍隊	jūnduì	N	army, military
B3L11-I-10	燒	shāo	V	to burn
B3L11-I-11	城牆	chéngqiáng	N	city walls, defensive walls
B3L11-I-12	頭髮	tóufǎ	N	hair
B3L11-I-13	甚至	shènzhì	Adv	even, even to the point of
B3L11-I-14	打仗	dǎzhàng	V-sep	to engage in warfare
B3L11-I-15	少數	shǎoshù	N	minority, a few
B3L11-I-16	開墾	kāikěn	V	to open up land for farming
B3L11-I-17	將軍	jiāngjūn	N	general
B3L11-I-18	軍人	jūnrén	N	military service member
B3L11-I-19	平原	píngyuán	N	flatland, plains
B3L11-I-20	人口	rénkǒu	N	population
B3L11-I-21	血統	xiětǒng	N	blood, bloodline
B3L11-I-22	嘍	lou	Ptc	"a sentence-final particle meaning ""in that case"""
B3L11-I-23	孫子	sūnzi	N	grandson
B3L11-I-24	領土	lǐngtǔ	N	territory (of a nation)
B3L11-I-25	男性	nánxìng	N	male
B3L11-I-26	禁止	jìnzhǐ	V	to forbid
B3L11-I-27	娶	qǔ	V	to take a women in marriage
B3L11-I-28	相信	xiāngxìn	Vst	to believe
B3L11-I-29	精彩	jīngcǎi	Vs	splendid, brilliant as (of a performance)
B3L11-I-30	紅毛城	Hóngmáo chéng		Fort Santo Domingo, literally red-hair city
B3L11-I-31	東方	Dōngfāng		the East, the Orient
B3L11-I-32	淡水	Dànshuǐ		Tamsui
B3L11-I-33	漢人	Hàn rén		Han-ethic Chinese
B3L11-I-34	鄭成功	Zhèng Chénggōng		Koxinga, 國姓爺, 1624-62, who ruled Taiwan against the Manchu sovereignty
B3L11-I-35	明朝	Míng cháo		Ming Dynasty, 1368-1644
B3L11-I-36	中南美洲	Zhōngnán Měizhōu		Central and South America
B3L11-I-37	清朝	Qīng cháo		Qing Dynasty, 1644-1911
B3L11-I-38	大清帝國	Dàqīng dìguó		the Qing Empire
B3L11-I-39	輪到	lúndào		one's turn, it's up to
B3L11-I-40	十七世紀初	shíqī shìjì chū		early 17th century
B3L11-I-41	打敗	dǎ bài		to defeat
B3L11-I-42	十七世紀末	shíqī shìjì mò		late 17th century
B3L11-II-01	餐桌	cānzhuō	N	dining table
B3L11-II-02	中式	zhōngshì	N	Chinese-style
B3L11-II-03	套	tào	M	set of (books, clothes, equipment etc...)
B3L11-II-04	燒餅	shāobǐng	N	clay oven sesame seed biscuits, like Indian nan
B3L11-II-05	油條	yóutiáo	N	deep-fried dough sticks
B3L11-II-06	飯糰	fàntuán	N	rice rolls with various filling
B3L11-II-07	豆漿	dòujiāng	N	soy milk
B3L11-II-08	內戰	nèizhàn	N	civil war
B3L11-II-09	人民	rénmín	N	the people
B3L11-II-10	攤子	tānzi	N	roadside stand, vendor's stall
B3L11-II-11	菜單	càidān	N	menu
B3L11-II-12	蘿蔔	luóbo	N	daikon radish
B3L11-II-13	接著	jiēzhe	Adv	to continue, to pick up where something left off
B3L11-II-14	戰爭	zhànzhēng	N	war
B3L11-II-15	不斷	bùduàn	Vs	continual, incessant
B3L11-II-16	遷移	qiānyí	Vi	to migrate
B3L11-II-17	多半	duōbàn	Adv	mostly, in the majority of cases
B3L11-II-18	困難	kùnnán	Vs	difficult
B3L11-II-19	節儉	jiéjiǎn	Vs	frugal
B3L11-II-20	主婦	zhǔfù	N	housewife
B3L11-II-21	煎	jiān	V	to pan fry
B3L11-II-22	彩色	càisè	N	variety of dishes
B3L11-II-23	以及	yǐjí	Conj	and, as well as
B3L11-II-24	美味	měiwèi	Vs	delicious
B3L11-II-25	點心	diǎnxīn	N	desserts
B3L11-II-26	日式	Rìshì	N	Japanese-style
B3L11-II-27	飲食	yǐnshí	N	food, diet
B3L11-II-28	深	shēn	Vs	deep
B3L11-II-29	蔣介石	Jiǎng Jièshí		Chiang Kai-shek, 1887-1975
B3L11-II-30	國共內戰	Guó Gòng Nèizhàn		the Chinese Civil War (i.e., between the Kuomintang and the Communists), 1927-37, 1945-50
B3L11-II-31	客家人	Kèjiā rén		the Hakka people, a branch of Han
B3L11-II-32	閩南人	Mǐnnán rén		the Southern Min people, also called Hokkien
B3L11-II-33	蛋餅	dàn bǐng		an egg wrap
B3L11-II-34	打輸	dǎ shū		to be defeated
B3L11-II-35	擺攤子	bǎi tānzi		to set up a vendor's stall
B3L11-II-36	蘿蔔糕	luóbo gāo		daikon cakes
B3L11-II-37	烹飪課	pēngrèn kè		cooking class
B3L11-II-38	曬乾	shài gān		to sun dry
B3L11-II-39	各種各樣	gèzhǒng gèyàng		various types
B3L11-II-40	殖民統治	zhímín tǒngzhì		to colonize and rule
B3L11-II-41	味噌湯	wèizēngtāng		miso soup (Japanese food)
B3L11-II-42	蘿蔔乾	luóbo gān		dried daikon
B3L11-II-43	進一步	jìn yí bù		further
B3L12-I-01	投票	tóupiào	V-sep	to vote
B3L12-I-02	抱歉	bàoqiàn	Vs	sorry, apologetic
B3L12-I-03	表妹	biǎomèi	N	younger female cousin
B3L12-I-04	反核	fǎn hé	Vs-attr	anti-nuclear
B3L12-I-05	遊行	yóuxíng	N	demonstration, rally
B3L12-I-06	政治	zhèngzhì	N	politics
B3L12-I-07	熱衷	rèzhōng	Vst	enthusiastic about, passionate about
B3L12-I-08	前途	qiántú	N	future, prospects
B3L12-I-09	勸	quàn	V	to persuade, to urge
B3L12-I-10	而已	éryǐ	Ptc	only, merely
B3L12-I-11	民主	mínzhǔ	Vs	democratic
B3L12-I-12	表達	biǎodá	V	to express
B3L12-I-13	公共	gōnggòng	Vs-attr	public
B3L12-I-14	議題	yìtí	N	issue
B3L12-I-15	核能	hénéng	N	nuclear power
B3L12-I-16	電廠	diànchǎng	N	power plant
B3L12-I-17	由	yóu		up to, by (a doer)
B3L12-I-18	專家	zhuānjiā	N	expert, specialist
B3L12-I-19	全面	quánmiàn	Adv	comprehensively
B3L12-I-20	民意	mínyì	N	public will, popular opinion
B3L12-I-21	代表	dàibiǎo	N	representative
B3L12-I-22	處理	chǔlǐ	V	to deal with, handle, tackle
B3L12-I-23	政黨	zhèngdǎng	N	political party
B3L12-I-24	難道	nándào	Adv	Could it be that...?, Is it that...?
B3L12-I-25	滿	mǎn	Vpt	to become
B3L12-I-26	憲法	xiànfǎ	N	constitution
B3L12-I-27	投票權	tóupiàoquán	N	right to vote, suffrage
B3L12-I-28	選舉	xuǎnjǔ	N	election
B3L12-I-29	權利	quánlì	N	right (a political right)
B3L12-I-30	表示	biǎoshì	V	to mean, indicate
B3L12-I-31	反映	fǎnyìng	Vpt	to reflect
B3L12-I-32	為	wèi	Prep	for
B3L12-I-33	服務	fúwù	V	to serve
B3L12-I-34	職位	zhíwèi	N	position, job
B3L12-I-35	任期	rènqí	N	term of office
B3L12-I-36	選民	xuǎnmín	N	voters, electorate
B3L12-I-37	完美	wánměi	Vs	perfect
B3L12-I-38	積極	jījí	Vs	actively, to take it upon oneself to, take the initiative to
B3L12-I-39	最佳	zuìjiā	Vs-attr	the very best, the best possible
B3L12-I-40	推銷員	tuīxiāoyuán	N	salesperson
B3L12-I-41	有道理	yǒu dàolǐ		there's some truth (to what you are saying)
B3L12-I-42	候選人	hòuxuǎn rén		candidate
B3L12-II-01	學術界	xuéshùjiè	N	academia, the academic fields or circles
B3L12-II-02	從政	cóngzhèng	Vi	to engage in politics
B3L12-II-03	政策	zhèngcè	N	policy
B3L12-II-04	安定	āndìng	Vs	stable
B3L12-II-05	辭	cí	Vp	to quit, resign
B3L12-II-06	頭腦	tóunǎo	N	brain, mind
B3L12-II-07	改革	gǎigé	N	reforms
B3L12-II-08	看法	kànfǎ	N	view, opinion
B3L12-II-09	教育	jiàoyù	N	education
B3L12-II-10	方面	fāngmiàn	N	in the areas of (an issue)
B3L12-II-11	得到	dédào	V	to obtain
B3L12-II-12	連任	liánrèn	V	to serve a successive term
B3L12-II-13	屆	jiè	M	term, tenure of elected office
B3L12-II-14	支持度	zhīchídù	N	approval rating
B3L12-II-15	落選	luòxuǎn	Vp	to lose an election
B3L12-II-16	得票率	dépiàolǜ	N	percentage of votes received
B3L12-II-17	預期	yùqí	N	expectation
B3L12-II-18	暫時	zhànshí	Adv	temporarily, for the time being
B3L12-II-19	老家	lǎojiā	N	hometown
B3L12-II-20	形象	xíngxiàng	N	image
B3L12-II-21	商量	shāngliáng	V	to confer, consult with
B3L12-II-22	人脈	rénmài	N	network of people, contacts
B3L12-II-23	弱勢	ruòshì	N	disadvantaged (lit.weak power)
B3L12-II-24	退休	tuìxiū	Vp	to retire
B3L12-II-25	事業	shìyè	N	business, career
B3L12-II-26	捐	juān	V	to donate
B3L12-II-27	義務	yìwù	Adv	to volunteer, on a voluntary basis, to do something gratis
B3L12-II-28	經費	jīngfèi	N	funds
B3L12-II-29	競選	jìngxuǎn	V	run for (an office)
B3L12-II-30	也許	yěxǔ	Adv	perhaps
B3L12-II-31	政治界	zhèngzhìjiè	N	the world of politics
B3L12-II-32	權力	quánlì	N	power
B3L12-II-33	辭掉	cìdiào		to quit, resign
B3L12-II-34	提出	tíchū		to propose
B3L12-II-35	國民年金	guómín niánjīn		national pension (scheme)
B3L12-II-36	中間選民	zhōngjiān xuǎnmín		swing voters
B3L12-II-37	一陣子	yí zhèn zi		a while, a short duration of time
B3L12-II-38	下一步	xià yí bù		the next step (in doing things)
B3L12-II-39	盡可能	jìn kěnéng		as far as possible, do one's best
B3L12-II-40	出版社	chūbǎn shè		publishing company
B3L12-II-41	捐出	juānchū		to donate
B3L12-II-42	二手書	èrshǒu shū		secondhand book
B3L01-I-01	安德思	Ān Désī		a man from Honduras
B3L01-I-02	羅珊蒂	Luó Shāndì		a woman from Indonesia
B3L01-I-03	和雅婷	Hé Yǎtíng		a woman from Taiwan
B3L01-I-04	開學	kāixué	Vp	(school) to start
B3L01-I-05	班	bān	N	class, i.e., the students (not the classroom or the course)
B3L01-I-06	新生	xīnshēng	N	new student
B3L01-I-07	嚴	yán	Vs	strict, stern
B3L01-I-08	口試	kǒushì	N	oral test
B3L01-I-09	筆試	bǐshì	N	written test
B3L01-I-10	以外	yǐwài	N	except, other than
B3L01-I-11	口頭	kǒutóu	Vs-attr	verbal, oral
B3L01-I-12	報告	bàogào	N	report
B3L01-I-13	壓力	yālì	N	pressure, stress
B3L01-I-14	說明	shuōmíng	N	instructions explanation
B3L01-I-15	清楚	qīngchǔ	Vs	clear(ly)
B3L01-I-16	位子	wèizi	N	seat, plate
B3L01-I-17	旁聽	pángtīng		to audit, to sit in (on a class)
B3L01-I-18	分	fēn	N	points
B3L01-I-19	羨慕	xiànmù	Vst	to envy
B3L01-I-20	休學	xiūxué	Vp-sep	to take a break from school
B3L01-I-21	用功	yònggōng	Vs	diligent, conscientious (as a student)
B3L01-I-22	行	xíng	Vs	to be all right
B3L01-I-23	轉	zhuǎn	V	to transfer to a different major
B3L01-I-24	原來	yuánlái	Adv	originally
B3L01-I-25	會計	kuàijì	N	accounting, an accountant
B3L01-I-26	熱門	rèmén	Vs	highly popular
B3L01-I-27	熬夜	áoyè	V-sep	to stay up all night, to burn the midnight oil
B3L01-I-28	當	dàng	V	to fail a course
B3L01-I-29	恐怕	kǒngpà	Adv	(I am) afraid that, probably
B3L01-I-30	口才	kǒucái	N	speaking skills
B3L01-I-31	事	shì	N	issue, matter, event thing
B3L01-I-32	遲到	chídào	Vp	to be late (in arrival)
B3L01-I-33	差一點	chà yì diǎn		barely, nearly, almost
B3L01-I-34	這樣下去	zhèyàng xiàqù		if it goes on like this
B3L01-I-35	沒辦法	méi bànfǎ		there's no way, there's nothing that can be done
B3L01-II-01	獨生女	dúshēngnǚ	N	only child (girl)
B3L01-II-02	私立	sīlì	Vs-attr	private
B3L01-II-03	理想	lǐxiǎng	Vs	ideal, aspired
B3L01-II-04	合	hé	Vst	to tally with, to match
B3L01-II-05	痛苦	tòngkǔ	Vs	painful
B3L01-II-06	科系	kēxì	N	(academic) department
B3L01-II-07	放棄	fàngqì	V	to give up
B3L01-II-08	不管	bùguǎn	Conj	no matter, regardless of
B3L01-II-09	反對	fǎnduì	Vst	to oppose, to be against
B3L01-II-10	個性	gèxìng	N	personality
B3L01-II-11	活潑	huópō	Vs	lively, bubbly, vivacious
B3L01-II-12	外語	wàiyǔ	N	foreign languge
B3L01-II-13	擔心	dānxīn	Vst	to worry about, to fret over with
B3L01-II-14	填	tián	V	to fill out (a form)
B3L01-II-15	表	biǎo	N	a form
B3L01-II-16	辦	bàn	V	to deal with
B3L01-II-17	手續	shǒuxù		procedures
B3L01-II-18	申請	shēnqǐng	V	to apply for
B3L01-II-19	成績單	chéngjī dān	N	report card, transcripts
B3L01-II-20	考上	kǎoshàng		test into
B3L01-II-21	推薦信	tuījiànxìn		a letter of recommendation
B3L02-I-01	起	qǐ	Vp	starting from...
B3L02-I-02	外套	wàitào	N	coat, jacket
B3L02-I-03	一般	yìbān	Adv	generally, in general
B3L02-I-04	商品	shāngpǐn	N	goods, commodities
B3L02-I-05	折扣	zhékòu	N	discount
B3L02-I-06	省	shěng	V	to save, to put away
B3L02-I-07	牌子	páizi	N	brand
B3L02-I-08	品質（質量）	pǐnzhí（zhíliàng)	N	quality
B3L02-I-09	選擇	xuǎnzé	N	choices
B3L02-I-10	樣子	yàngzi	N	appearance, looks
B3L02-I-11	摸	mō	V	to feel, to touch
B3L02-I-12	店員	diànyuán	N	salesperson, store employee, clerk
B3L02-I-13	短	duǎn	Vs	short
B3L02-I-14	羊毛	yángmáo	N	lamb's wool
B3L02-I-15	暖和	nuǎnhuo	Vs	warm
B3L02-I-16	打折	dǎzhé	V-sep	to offer a discount
B3L02-I-17	原價	yuánjià	N	original price
B3L02-I-18	刷卡	shuākǎ	V-sep	to swipe (credit card)
B3L02-I-19	現金	xiànjīn	N	cash
B3L02-I-20	麻煩	máfán	V	please (lit. allow me to trouble you)
B3L02-I-21	簽名	qiānmíng	V-sep	to sign
B3L02-I-22	破洞	pòdòng	Vp-sep	to have a hole
B3L02-I-23	發票	fāpiào	N	receiipt
B3L02-I-24	弄	nòng	V	(pro-verb) to cause, to do
B3L02-I-25	退	tuì	V	to return (purchases)
B3L02-I-26	換	huàn	V	to exchange
B3L02-I-27	店長	diànzhǎng	N	store manager
B3L02-I-28	周年慶	zhōunián qìng		anniversary
B3L02-I-29	一般來說	yìbān láishuō		generally speaking
B3L02-I-30	試穿	shì chuān		to try on (garment)
B3L02-I-31	打完折	dǎ wán zhé		after discount
B3L02-I-32	弄丟	nòng diū		to lose
B3L02-II-01	購物	gòuwù	Vi	to go shopping
B3L02-II-02	糾紛	jiūfēn	N	dispute
B3L02-II-03	電信	diànxìn	N	telecommunications
B3L02-II-04	門市	ménshì	N	retails outlet
B3L02-II-05	居留證	jūliúzhèng	N	Alien Resident Certificate (ARC in Taiwan)
B3L02-II-06	月租型	yuèzūxíng	N	a monthly plan
B3L02-II-07	帳單	zhàngdān	N	bill
B3L02-II-08	並	bìng	Adv	contrary to assumption (followed by a negative statement)
B3L02-II-09	包括	bāokuò	V	to include
B3L02-II-10	解釋	jiěshì	N	explanation
B3L02-II-11	顧客	gùkè	N	customer
B3L02-II-12	尤其	yóuqí	Adv	especially, in particular
B3L02-II-13	騙	piàn	V	to cheat, to swindle
B3L02-II-14	頓	dùn	M	verbal measure word for a duration of action
B3L02-II-15	辦法	bànfǎ	N	solution
B3L02-II-16	自動	zìdòng	Adv	by itself, on its own, automatically
B3L02-II-17	關機	guānjī	Vp-sep	to turn off, to shut down
B3L02-II-18	修理	xiūlǐ	V	to repair
B3L02-II-19	繳費	jiǎofèi	V-sep	to pay a fee
B3L02-II-20	預付卡	yùfù kǎ		prepaid SIM card
B3L02-II-21	換成	huàn chéng		to change to
B3L02-II-22	吃到飽	chī dào bǎo		unlimited data (lit. all you can eat)
B3L02-II-23	嚇一跳	xià yí tiào		shocked, startled, taken aback
B3L02-II-24	客服中心	kèfú zhōngxīn		customer service center
B3L03-I-01	陳敏萱	Chén Mǐnxuān		a woman from the Netherlands
B3L03-I-02	高橋健太	Gāoqiáo Jiàntài		a man from Japan
B3L03-I-03	空氣	kōngqì	N	air
B3L03-I-04	影響	yǐngxiǎng	N	influence
B3L03-I-05	穩定	wěndìng	Vs	stable
B3L03-I-06	幸虧	xìngkuī	Adv	fortunately
B3L03-I-07	躲	duǒ	Vi	to hide, to go into hiding
B3L03-I-08	度	dù	M	degree
B3L03-I-09	溫度	wēndù	N	temperature
B3L03-I-10	零下	língxià	Vs-attr	below zero
B3L03-I-11	感覺	gǎnjué	Vst	to feel
B3L03-I-12	實際	shíjì	Vs	actual
B3L03-I-13	難怪	nánguài	Adv	it's no wonder, no wonder
B3L03-I-14	季節	jìjié	N	season
B3L03-I-15	火鍋	huǒguō	N	hotpot
B3L03-I-16	海鮮	hǎixiān	N	seafood
B3L03-I-17	新鮮	xīnxiān	Vs	fresh
B3L03-I-18	櫻花	yīnghuā	N	cherry blossom
B3L03-I-19	變化	biànhuà	N	change
B3L03-I-20	氣溫	qìwēn	N	temperature (weather)
B3L03-I-21	差	chā	Vst	to differ
B3L03-I-22	幾乎	jīhū	Adv	almost
B3L03-I-23	乾	gān	Vs	dry
B3L03-I-24	發霉	fāméi	Vp-sep	to mildew, to become moldy
B3L03-I-25	除濕機	chúshījī	N	dehumidifier
B3L03-I-26	雨季	yǔjì	N	rainy season
B3L03-I-27	涼快	liángkuài	Vs	cool
B3L03-I-28	潮濕	cháoshī	Vs	humid
B3L03-I-29	悶	mēn	Vs	stuffy
B3L03-I-30	冷氣	lěngqì	N	air conditioning
B3L03-I-31	荷蘭	Hélán		the Netherlands (lit. Holland)
B3L03-I-32	出大太陽	chū dà tàiyáng		to be blazing hot
B3L03-I-33	颳風	guā fēng		to be windy (lit. blow wind)
B3L03-I-34	受到	shòu dào		to receive, to be, to get
B3L03-I-35	受不了	shòu bù liǎo		can't stand it
B3L03-I-36	餓死了	è sǐle		to starve to death (an exaggeration)
B3L03-I-37	後母臉	hòumǔliǎn		stepmother's face, i.e., stern and cruel look
B3L03-II-01	祖先	zǔxiān	N	ancestor
B3L03-II-02	移民	yímín	Vi	to immigrate, to emigrate
B3L03-II-03	當中	dāngzhōng	N	of, amongst
B3L03-II-04	根據	gēnjù	Prep	based on, in accordance with, according to
B3L03-II-05	農曆	nónglì	N	the lunar calendar (lit. the agricultural calendar)
B3L03-II-06	農業	nóngyè	N	agriculture
B3L03-II-07	農人	nóngrén	N	farmer
B3L03-II-08	難得	nándé	Vs	hard-to-come-by, rare
B3L03-II-09	祭祖	jìzǔ	Vi	to venerate ancestors
B3L03-II-10	拜	bài	V	to honor, to pay homage to
B3L03-II-11	神	shén	N	gods, divinities
B3L03-II-12	拜拜	bàibài	Vi	to present offerings to gods or ancestors
B3L03-II-13	蚊蟲	wénchóng	N	mosquitoes and other insects
B3L03-II-14	戴	dài	V	to wear (items other than those that cover the torso, legs, or feet, mostly ornamental items)
B3L03-II-15	香包	xiāngbāo	N	fragrant sachet
B3L03-II-16	掛	guà	V	to hang
B3L03-II-17	瘟疫	wēnyì	N	pestilence, plague
B3L03-II-18	做法	zuòfǎ	N	method, way of doing something
B3L03-II-19	多少	duōshǎo	Adv	somewhat
B3L03-II-20	作用	zuòyòng	N	effect
B3L03-II-21	迷信	míxìn	N	superstition
B3L03-II-22	守成	shōuchéng	N	harvest
B3L03-II-23	民族	mínzú	N	ethnic group
B3L03-II-24	月亮	yuèliàng	N	moon
B3L03-II-25	圓	yuán	Vs	round
B3L03-II-26	社會	shèhuì	N	society
B3L03-II-27	團聚	tuánjù	Vi	to get-together, to reunite; reunion of family members (in this lesson)
B3L03-II-28	月餅	yuèbǐng		moon cake (shaped like the moon)
B3L03-II-29	柚子	yòuzi	N	pomelo
B3L03-II-30	故事	gùshì	N	story
B3L03-II-31	溫馨	wēnxīn	Vs	warm, heart-warming
B3L03-II-32	端午節	Duānwǔ jié		the Dragon Boat Festival (the 5th day of the 5th month)
B3L03-II-33	中秋節	Zhōngqiū jié		the Mid-Autumn Moon Festival (the 15th day of the 8th month)
B3L03-II-34	雄黃酒	xiónghuáng jiǔ		realgar liquor, a wine seasoned with realgar, a type of arsenic, and is traditionally considered to be an antidote to other poisons
B3L03-II-35	古時候	gǔ shíhòu		historically, in ancient times
B3L03-II-36	趕走	gǎnzǒu		to drive away
B3L03-II-37	過節	guò jié		to spend the holiday in some manner
B3L04-I-01	愛	ài	Vst	to love
B3L04-I-02	人情味	rénqíngwèi	N	to be hospitable, kind, friendly
B3L04-I-03	放	fàng	V	to release
B3L04-I-04	天燈	tiāndēng	N	sky lantern
B3L04-I-05	願望	yuànwàng	N	wish
B3L04-I-06	訊號	xùnhào	N	signal (data connection)
B3L04-I-07	元宵	yuánxiāo	N	sweet sticky rice dumplings
B3L04-I-08	牆	qiáng	N	wall
B3L04-I-09	耐心	nàixīn	N	patience
B3L04-I-10	感動	gǎndòng	Vs	to be touched, moved
B3L04-I-11	擔仔麵	dànzǎimiàn	N	danzai noodles (special dish from Tainan)
B3L04-I-12	招牌	zhāopái	N	store sign
B3L04-I-13	當地	dāngdì	Vs-attr	local
B3L04-I-14	賺	zhuàn	V	to earn
B3L04-I-15	而	ér	Adv	on the other hand, rather
B3L04-I-16	交	jiāo	V	to make (friends)
B3L04-I-17	理想	lǐxiǎng	N	ideals, aspirations
B3L04-I-18	剛剛	gānggāng	Adv	just now
B3L04-I-19	改天	gǎitiān	Adv	some other day
B3L04-I-20	無聊	wúliáo	Vs	boring, dull
B3L04-I-21	東區	dōngqū	N	the East District (of Taipei)
B3L04-I-22	煙火	yānhuǒ	N	fireworks
B3L04-I-23	跨年	kuànián	Vi	welcome in the (solar) New Year (lit. span the years)
B3L04-I-24	種類	zhǒnglèi	N	type, category
B3L04-I-25	價錢	jiàqián	N	price
B3L04-I-26	感覺	gǎnjué	N	feeling; a feeling of
B3L04-I-27	雞排	jīpái	N	chicken fillet
B3L04-I-28	口	kǒu	M	mouthful
B3L04-I-29	紅茶	hóngchá	N	black tea (lit. red tea)
B3L04-I-30	平溪	Píngxī		Pingxi, a town in northern Taiwan
B3L04-I-31	元宵節	Yuánxiāo jié		the Lantern Festival (15th day of the 1st month)
B3L04-I-32	孔廟	Kǒngmiào		Confucian Temple
B3L04-I-33	校外教學	xiàowài jiāoxué		field trip, class excursion
B3L04-I-34	碰到	pèngdào		to run into
B3L04-I-35	水煎包	shuǐjiān bāo		pan-fried pork bun
B3L04-II-01	同事	tóngshì	N	colleague, coworker
B3L04-II-02	美食	měishí	N	delicacies, delicious foods
B3L04-II-03	上	shàng	V	to go up to
B3L04-II-04	泡	pào	V	to steep (tea), to soak oneself in, i.e., to bath in
B3L04-II-05	錯過	cuòguò	Vpt	to miss an opportunity
B3L04-II-06	營業	yíngyè	Vi	to open for business, in operation (business)
B3L04-II-07	夜景	yèjǐng	N	night view
B3L04-II-08	古老	gǔlǎo	Vs	ancient, antiquated
B3L04-II-09	古蹟	gǔjī	N	historical site
B3L04-II-10	重視	zhòngshì	Vst	to place emphasis on, to lay stress on, to value
B3L04-II-11	歷史	lìshǐ	N	history
B3L04-II-12	風俗	fēngsú	N	customs (social custom)
B3L04-II-13	習慣	xíguàn	N	habit
B3L04-II-14	道地	dàodì	Vs	authentic
B3L04-II-15	粥	zhōu	N	congee, watery rice
B3L04-II-16	講究	jiǎngjiù	Vst	to be discriminating in, to be discerning, meticulous
