ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B1L06-I-13	山	山	shān	N	mountain	
B1L06-I-14	真的	真的	zhēnde	Adv	really, truly	
B1L06-I-15	地方	地方	dìfāng	N	place	
B1L06-I-16	現在	现在	xiànzài	N	now	
B1L06-I-17	附近	附近	fùjìn	N	vicinity, near	
B1L06-I-18	樓下	楼下	lóuxià	N	downstairs	
B1L06-I-19	找	找	zhǎo	V	to meet, to see	
B1L06-I-20	朋友	朋友	péngyǒu	N	friend	
B1L06-I-21	上課	上课	shàngkè	V-sep	to go to class	
B1L06-I-22	花蓮	花莲	Huālián		name of a city on the eastern coast of Taiwan	
B1L06-I-23	聽說	听说	tīngshuō		hear that	
B1L06-II-01	近	近	jìn	Vs	near	
B1L06-II-02	方便	方便	fāngbiàn	Vs	convenient	
B1L06-II-03	這裡	这里	zhèlǐ	N	here, this place	
B1L06-II-04	學生	学生	xuéshēng	N	student	
B1L06-II-05	在	在	zài	Prep	at	
B1L06-II-06	東西	东西	dōngxi	N	things, stuff	
B1L06-II-07	外面	外面	wàimiàn	N	outside	
B1L06-II-08	裡面	里面	lǐmiàn	N	inside	
B1L06-II-09	商店	商店	shāngdiàn	N	store; shop	
B1L06-II-10	吃飯	吃饭	chīfàn	V-sep	to have a meal	
B1L06-II-11	宿舍	宿舍	sùshè	N	dormitory	
B1L06-II-12	樓	楼	lóu	N	a storey, a floor	
B1L06-II-13	棟	栋	dòng	M	measure word for buildings	
B1L06-II-14	大樓	大楼	dàlóu	N	a multi-storey building	
B1L06-II-15	圖書館	图书馆	túshūguǎn	N	library	
B1L06-II-16	旁邊	旁边	pángbiān	N	(by the) side, next to	
B1L06-II-17	教室	教室	jiàoshì	N	classroom	
B1L06-II-18	游泳池	游泳池	yóuyǒngchí	N	swimming pool	
B1L07-I-01	點	点	diǎn	M	o'clock	
B1L07-I-02	KTV	KTV	KTV	N	Karaoke	
B1L07-I-03	唱歌	唱歌	chànggē	V-sep	to sing	
B1L07-I-04	分	分	fēn	M	minute	
B1L07-I-05	見面	见面	jiànmiàn	V-sep	meet	
B1L07-I-06	從	从	cóng	Prep	from	
B1L07-I-07	中午	中午	zhōngwǔ	N	noon	
B1L07-I-08	得	得	děi	Vaux	to have to, must	
B1L07-I-09	銀行	银行	yínháng	N	bank	
B1L07-I-10	時候	时候	shíhòu	N	when	
B1L07-I-11	後天	后天	hòutiān	N	the day after tomorrow	
B1L07-I-12	大安	大安	Dà'ān		Da-an (name of a KTV named after a district in Taipei, where Shida is also located.)	
B1L07-I-13	下次	下次	xià cì		next time	
B1L07-I-14	沒問題	没问题	méi wèntí		No problem.	
B1L07-I-15	對了	对了	duìle		by the way	
B1L07-I-16	有空	有空	yǒu kòng		to have free time	
B1L07-I-17	再見	再见	zàijiàn		Goodbye.	
B1L07-II-01	在	在	zài	Vs	progressive aspect verb; in the process of doing something	
B1L07-II-02	午餐	午餐	wǔcān	N	lunch	
B1L07-II-03	剛	刚	gāng	Adv	just now	
B1L07-II-04	下課	下课	xiàkè	V-sep	to finish class	
B1L07-II-05	下午	下午	xiàwǔ	N	afternoon	
B1L07-II-06	半	半	bàn	N	half	
B1L07-II-07	比賽	比赛	bǐsài	N	game, competition	
B1L07-II-08	結束	结束	jiéshù	Vp	to finish	
B1L07-II-09	最近	最近	zuìjìn	N	recently, lately	
B1L07-II-10	忙	忙	máng	Vs	busy	
B1L07-II-11	每	每	měi	Det	every, each	
B1L07-II-12	天	天	tiān	M	Measure word for day	
B1L07-II-13	書法	书法	shūfǎ	N	calligraphy	
B1L07-II-14	課	课	kè	N	class	
B1L07-II-15	開始	开始	kāishǐ	Vp	to begin, to start	
B1L07-II-16	字	字	zì	N	character	
B1L07-II-17	寫	写	xiě	V	to write	
B1L07-II-18	可以	可以	kěyǐ	Vaux	may (permission)	
B1L07-II-19	問	问	wèn	V	to ask	
B1L07-II-20	等一下	等一下	děng yíxià		later	
B1L07-II-21	有事	有事	yǒu shì		to be busy; to be engaged	
B1L07-II-22	有意思	有意思	yǒu yìsi		to be interesting, to be fun	
B1L08-I-01	坐	坐	zuò	V	to take by, to travel by	
B1L08-I-02	火車	火车	huǒchē	N	train	
B1L08-I-03	跟	跟	gēn	Prep	with	
B1L08-I-04	玩	玩	wán	V	to have fun	
B1L08-I-05	怎麼	怎么	zěnme	Adv	how	
B1L08-I-06	慢	慢	màn	Vs	slow	
B1L08-I-07	鐘頭	钟头	zhōngtóu	N	hour	
B1L08-I-08	比較	比较	bǐjiào	Adv	(comparatively) more	
B1L08-I-09	快	快	kuài	Vs	fast	
B1L08-I-10	車票	车票	chēpiào	N	(train, bus) ticket	
B1L08-I-11	非常	非常	fēicháng	Adv	very	
B1L08-I-12	但是	但是	dànshì	Conj	but, however	
B1L08-I-13	又	又	yòu	Adv	both...and...	
B1L08-I-14	舒服	舒服	shūfú	Vs	comfortable	
B1L08-I-15	站	战	zhàn	N	station	
B1L08-I-16	或是	或是	huòshì	Conj	or	
B1L08-I-17	臺南	台南	Táinán		a city in southwestern Taiwan	
B1L08-I-18	高鐵	高铁	gāotiě		High Speed Rail (HSR)	
B1L08-I-19	網路上	网路上	wǎnglù shàng		on the Internet	
B1L08-I-20	便利商店	便利商店	biànlì shāngdiàn		convenience store	
B1L08-II-01	同學	同学	tóngxué	N	classmate	
B1L08-II-02	參觀	参观	cānguān	V	to visit (an institution)	
B1L08-II-03	古代	古代	gǔdài	N	ancient times	
B1L08-II-04	騎	骑	qí	V	to ride	
B1L08-II-05	機車	机车	jīchē	N	motorcycle, scooter	
B1L08-II-06	載	载	zài	V	to give someone a ride (on/in vehicle, e.g. motorcycle, bicycle or car)	
B1L08-II-07	捷運	捷运	jiéyùn	N	MRT	
B1L08-II-08	比	比	bǐ	Prep	(more...) than	
B1L08-II-09	故宮博物院（故宮）	故宫博物院（故宫）	Gùgōng Bówùyuàn		National Palace Museum	
B1L08-II-10	中國	中国	Zhōngguó		China	
B1L08-II-11	公共汽車（公車）	公共汽车（公车）	gōnggòng qìchē		bus	
B1L08-II-12	不行	不行	bù xíng		will not do	
B1L08-II-13	計程車	计程车	jìchéngchē		taxi	
B1L08-II-14	差不多	差不多	chābùduō		about the same	
B1L09-I-01	星期 + number	星期 + number	xīngqí	N	week	
B1L09-I-02	回國	回国	huíguó	V-sep	to return to one's country	
B1L09-I-03	打算	打算	dǎsuàn	Vaux	to plan to	
B1L09-I-04	電視	电视	diànshì	N	TV	
B1L09-I-05	影片	影片	yǐngpiàn	N	film	
B1L09-I-06	旅行	旅行	lǚxíng	Vi	to travel	
B1L09-I-07	功課	功课	gōngkè	N	homework	
B1L09-I-08	出去	出去	chūqù	Vi	to go out	
B1L09-I-09	大概	大概	dàgài	Adv	approximately, about, probably	
B1L09-I-10	放假	放假	fàngjià		to have a holiday	
B1L09-I-11	下個星期	下个星期	xià ge xīngqí		next week	
B1L09-I-12	有時候	有时候	yǒu shíhòu		sometimes	
B1L09-I-13	多久	多久	duō jiǔ		how long	
B1L09-I-14	臺東	台东	Táidōng		name of one of the major cities on the southeastern coast of Taiwan	
B1L09-II-01	女 + noun	女 + noun	nǚ	N	girl-, female-	
B1L09-II-02	number + 月	number + 月	yuè	N	month of a year	
B1L09-II-03	number + 號	number + 号	hào	N	date, day of a month	
B1L09-II-04	帶	带	dài	V	to take	
B1L09-II-05	她	他	tā	N	she, her	
B1L09-II-06	還	还	hái	Adv	still, additionally	
B1L09-II-07	建議	建议	jiànyì	N	suggestion	
B1L09-II-08	夜市	夜市	yèshì	N	night market	
B1L09-II-09	應該	应该	yīnggāi	Vaux	should	
B1L09-II-10	逛	逛	guàng	V	to wander around, to look around	
B1L09-II-11	特別	特别	tèbié	Vs	special	
B1L09-II-12	茶館	茶馆	cháguǎn	N	tea house	
B1L09-II-13	決定	决定	juédìng	Vp	to decide	
B1L09-II-14	要是	要是	yàoshì	Conj	if	
B1L09-II-15	就	就	jiù	Adv	then	
B1L09-II-16	貓空	猫空	Māokōng		name of a must-see place in Taipei to visit for fine tea and scenery	
B1L10-I-01	水果	水果	shuǐguǒ	N	fruit	
B1L10-I-02	黃色	黄色	huángsè	N	yellow	
B1L10-I-03	芒果	芒果	mángguǒ	N	mango	
B1L10-I-04	給	给	gěi	V	to give	
B1L10-I-05	塊	块	kuài	M	a measure for pieces of food (e.g., meat, cake)	
B1L10-I-06	香	香	xiāng	Vs	fragrant	
B1L10-I-07	甜	甜	tián	Vs	sweet (taste)	
B1L10-I-08	紅色	红色	hóngsè	N	red	
B1L10-I-09	西瓜	西瓜	xīguā	N	watermelon	
B1L10-I-10	吧	吧	ba	Ptc	Sentence-final particle for guessing	
B1L10-I-11	對	对	duì	Vs	correct, right	
B1L10-I-12	以前	以前	yǐqián	N	before	
B1L10-I-13	機會	机会	jīhuì	N	opportunity	
B1L10-I-14	請	请	qǐng	V	to treat sb to sth	
B1L10-I-15	吃吃看	吃吃看	chīchīkàn		to have a taste, try it, taste it	
B1L10-II-01	拍	拍	pāi	V	to take (pictures)	
B1L10-II-02	笑	笑	xiào	V	to laugh, to smile	
B1L10-II-03	開心	开心	kāixīn	Vs	happy	
B1L10-II-04	穿	穿	chuān	V	to wear, to put on	
B1L10-II-05	衣服	衣服	yīfú	N	clothes	
B1L10-II-06	旅館	旅馆	lǚguǎn	N	hotel	
B1L10-II-07	太太	太太	tàitai	N	wife	
B1L10-II-08	男 + noun	男 + noun	nán	N	boy-, male-	
B1L10-II-09	矮	矮	ǎi	Vs	short (height)	
B1L10-II-10	高	高	gāo	Vs	tall	
B1L10-II-11	弟弟	弟弟	dìdi	N	younger brother	
B1L10-II-12	乾淨	干净	gānjìng	Vs	clean	
B1L10-II-13	窗戶	窗户	chuānghù	N	window	
B1L10-II-14	往	往	wǎng	Prep	toward, to	
B1L10-II-15	藍色	蓝色	lánsè	N	blue	
B1L10-II-16	因為	因为	yīnwèi	Conj	because	
B1L10-II-17	住	住	zhù	V	to stay	
B1L10-II-18	上個月	上个月	shàng ge yuè		last month	
B1L10-II-19	這些	这些	zhèxiē		these	
B1L11-I-01	租	租	zū	V	to rent	
B1L11-I-02	房東	房东	fángdōng	N	landlord	
B1L11-I-03	客廳	客厅	kètīng	N	living room	
B1L11-I-04	廚房	厨房	chúfáng	N	kitchen	
B1L11-I-05	左邊	左边	zuǒbiān	N	left (side)	
B1L11-I-06	右邊	右边	yòubiān	N	right (side)	
B1L11-I-07	浴室	浴室	yùshì	N	bathroom	
B1L11-I-08	超市	超市	chāoshì	N	supermarket	
B1L11-I-09	走路	走路	zǒulù	V-sep	to walk	
B1L11-I-10	分鐘	分钟	fēnzhōng	M	measure word for minutes	
B1L11-I-11	就	就	jiù	Adv	only, merely	
B1L11-I-12	到	到	dào	Vp	arrive	
B1L11-I-13	間	间	jiān	M	measure word for houses, rooms, etc.	
B1L11-I-14	空	空	kōng	Vs	vacant , empty	
B1L11-I-15	房間	房间	fángjiān	N	room	
B1L11-I-16	套房	套房	tàofáng	N	suite	
B1L11-I-17	回去	回去	huíqù	Vi	to go back, to return	
B1L11-I-18	想	想	xiǎng	V	to think	
B1L11-I-19	再	再	zài	Adv	and then	
B1L11-I-20	電話	电话	diànhuà	N	telephone	
B1L11-I-21	給	给	gěi	Prep	to	
B1L11-I-22	林	林	lín	N	Chinese last name, common in Taiwan	
B1L11-I-23	打電話	打电话	dǎ diànhuà		to make a phone call	
B1L11-II-01	喂	喂	wéi	Ptc	a particle used in addressing people, especially over the phone	
B1L11-II-02	房租	房租	fángzū	N	rent (for a room or a house)	
B1L11-II-03	已經	已经	yǐjīng	Adv	already	
B1L11-II-04	習慣	习惯	xíguàn	Vs	to get settled down, to get used to	
B1L11-II-05	問題	问题	wèntí	N	problem,question	
B1L11-II-06	熱水器	热水器	rèshuǐqì	N	water heater	
B1L11-II-07	好像	好像	hǎoxiàng	Adv	to seem to be, to appear to be (often used to take the edge off of a comment)	
B1L11-II-08	會	会	huì	Vaux	will	
B1L11-II-09	等	等	děng	V	to wait for	
B1L11-II-10	那	那	nà	Ptc	then, in that case	
B1L11-II-11	裝	装	zhuāng	V	to install	
B1L11-II-12	不過	不过	búguò	Conj	however, but	
B1L11-II-13	付	付	fù	V	to pay	
B1L11-II-14	收到	收到	shōudào		to receive	
B1L11-II-15	不好意思	不好意思	bùhǎo yìsi		sorry	
B1L11-II-16	沒關係	没关系	méi guānxi		Not a problem	
B1L11-II-17	有線電視	有线电视	yǒuxiàn diànshì		cable TV	
B1L12-I-01	計畫	计画	jìhuà	V	to plan to	
B1L12-I-02	年	年	nián	M	measure word for year	
B1L12-I-03	久	久	jiǔ	Vs	long (time)	
B1L12-I-04	時間	时间	shíjiān	N	time	
B1L12-I-05	先	先	xiān	Adv	first	
B1L12-I-06	念	念	niàn	V	to study	
B1L12-I-07	大學	大学	dàxué	N	university	
B1L12-I-08	需要	需要	xūyào	Vst	to need	
B1L12-I-09	花	花	huā	V	to spend (time or money)	
B1L12-I-10	獎學金	奖学金	jiǎngxuéjīn	N	scholarship	
B1L12-I-11	成績	成绩	chéngjī	N	grades	
B1L12-I-12	學費	学费	xuéfèi	N	tuition	
B1L12-I-13	公司	公司	gōngsī	N	company	
B1L12-I-14	替	替	tì	Prep	for, on behalf of	
B1L12-I-15	希望	希望	xīwàng	Vst	to hope	
B1L12-I-17	到	到	dào	V	to go/come to	
B1L12-I-18	上班	上班	shàngbān	V-sep	to go to work	
B1L12-I-19	念書	念书	niànshū	V-sep	to study	
B1L12-I-20	累	累	lèi	Vs	tired	
B1L12-I-21	語言中心	语言中心	yǔyán zhōngxīn		language center	
B1L12-I-22	加油	加油	jiāyóu		keep up the good work	
B1L12-II-01	工作	工作	gōngzuò	Vi	to work	
B1L12-II-02	去年	去年	qùnián	N	last year	
B1L12-II-03	做	做	zuò	V	to do, to engage in	
B1L12-II-04	生意	生意	shēngyì	N	business	
B1L12-II-05	以後	以后	yǐhòu	N	afterwards	
B1L12-II-06	好	好	hǎo	Vs	easy to	
B1L12-II-07	找	找	zhǎo	V	to look for	
B1L12-II-08	工作	工作	gōngzuò	N	job, work	
B1L12-II-09	這樣	这样	zhèyàng	N	this kind (of)	
B1L12-II-10	國家	国家	guójiā	N	country	
B1L12-II-11	試	试	shì	Vi	to try	
B1L12-II-12	難	难	nán	Vs	hard to, difficult to	
B1L12-II-13	那麼	那么	nàme	Ptc	then	
B1L12-II-14	再	再	zài	Adv	again	
B1L12-II-15	試試看	试试看	shìshìkàn		to give it a try, to try and see what happens	
B1L13-I-01	生日	生日	shēngrì	N	birthday	
B1L13-I-02	快樂	快乐	kuàilè	Vs	happy	
B1L13-I-03	回來	回来	huílái	Vi	to come back	
B1L13-I-04	啊	啊	a	Ptc	a particle indicating a realization	
B1L13-I-05	怎麼	怎么	zěnme	Adv	How come?	
B1L13-I-06	忘了	忘了	wàngle	Vpt	to forget	
B1L13-I-07	記得	记得	jìde	Vst	to remember	
B1L13-I-08	當然	当然	dāngrán	Adv	certainly, of course	
B1L13-I-09	語言	语言	yǔyán	N	language	
B1L13-I-10	交換	交换	jiāohuàn	V	to exchange	
B1L13-I-11	那麼	那么	nàme	Adv	so (very)	
B1L13-I-12	熱心	热心	rèxīn	Vs	with enthusiasm	
B1L13-I-13	西班牙文	西班牙文	Xībānyá wén	N	the Spanish language	
B1L13-I-14	一樣	一样	yīyàng	Vs	the same, alike	
B1L13-I-15	過	过	guò	V	to celebrate	
B1L13-I-16	左右	左右	zuǒyòu	N	approximately	
