ID	Traditional	Pinyin	POS	Meaning	Tags	Audio
B1L03-I-22	做什麼	zuò shénme		do what		[sound:B1.03-02.022.mp3]
B1L03-I-23	好啊	hǎo a		OK		[sound:B1.03-02.023.mp3]
B1L03-II-01	白如玉	Bái Rúyù		a woman from the US	People	[sound:B1.03-04.001.mp3]
B1L03-II-02	今天	jīntiān	N	today		[sound:B1.03-04.002.mp3]
B1L03-II-03	晚上	wǎnshàng	N	evening, night		[sound:B1.03-04.003.mp3]
B1L03-II-04	看	kàn	V	to see, to watch		[sound:B1.03-04.004.mp3]
B1L03-II-05	電影	diànyǐng	N	movie		[sound:B1.03-04.005.mp3]
B1L03-II-06	妳	nǐ	N	you (female)		[sound:B1.03-04.006.mp3]
B1L03-II-07	想	xiǎng	Vaux	to want, to think		[sound:B1.03-04.007.mp3]
B1L03-II-08	還是	háishì	Conj	or (used in a question)		[sound:B1.03-04.008.mp3]
B1L03-II-09	吧	ba	Ptc	sentence-final particle for suggestion		[sound:B1.03-04.009.mp3]
B1L03-II-10	可以	kěyǐ	Vaux	could (possibility)		[sound:B1.03-04.010.mp3]
B1L03-II-11	學	xué	V	to learn, to study		[sound:B1.03-04.011.mp3]
B1L03-II-12	中文	Zhōngwén	N	Chinese language		[sound:B1.03-04.012.mp3]
B1L03-II-13	一起	yìqǐ	Adv	together		[sound:B1.03-04.013.mp3]
B1L03-II-14	吃	chī	V	to eat		[sound:B1.03-04.014.mp3]
B1L03-II-15	晚飯	wǎnfàn	N	dinner		[sound:B1.03-04.015.mp3]
B1L03-II-16	菜	cài	N	cuisine		[sound:B1.03-04.016.mp3]
B1L03-II-17	越南	Yuènán		Vietnam	Place	[sound:B1.03-04.017.mp3]
B1L03-II-18	好不好	hǎo bù hǎo		How about...? How does that sound?		[sound:B1.03-04.018.mp3]
B1L04-I-01	一共	yígòng	Adv	altogether		[sound:B1.04-02.001.mp3]
B1L04-I-02	多少	duōshǎo	N	how much, how many		[sound:B1.04-02.002.mp3]
B1L04-I-03	錢	qián	N	money		[sound:B1.04-02.003.mp3]
B1L04-I-04	老闆	lǎobǎn	N	store-owner, boss		[sound:B1.04-02.004.mp3]
B1L04-I-05	買	mǎi	V	to buy		[sound:B1.04-02.005.mp3]
B1L04-I-06	杯	bēi	M	cup		[sound:B1.04-02.006.mp3]
B1L04-I-07	熱	rè	Vs	hot		[sound:B1.04-02.007.mp3]
B1L04-I-08	包子	bāozi	N	steamed buns with meat stuffing filling		[sound:B1.04-02.008.mp3]
B1L04-I-09	要	yào	V	to want, to need		[sound:B1.04-02.009.mp3]
B1L04-I-10	大	dà	Vs	large		[sound:B1.04-02.010.mp3]
B1L04-I-11	中	zhōng	Vs-attr	medium		[sound:B1.04-02.011.mp3]
B1L04-I-12	小	xiǎo	Vs	small		[sound:B1.04-02.012.mp3]
B1L04-I-13	幫	bāng	Prep	for		[sound:B1.04-02.013.mp3]
B1L04-I-14	微波	wéibō	V	to microwave		[sound:B1.04-02.014.mp3]
B1L04-I-15	百	bǎi	N	hundred		[sound:B1.04-02.015.mp3]
B1L04-I-16	塊	kuài	M	measure word for Chinese money		[sound:B1.04-02.016.mp3]
B1L04-I-17	好的	hǎode		OK		[sound:B1.04-02.017.mp3]
B1L04-I-18	外帶	wàidài		take out, to go		[sound:B1.04-02.018.mp3]
B1L04-I-19	內用	nèiyòng		for here		[sound:B1.04-02.019.mp3]
B1L04-II-01	支	zhī	M	measure word for cell phones		[sound:B1.04-04.001.mp3]
B1L04-II-02	新	xīn	Vs	new		[sound:B1.04-04.002.mp3]
B1L04-II-03	手機	shǒujī	N	cell phone		[sound:B1.04-04.003.mp3]
B1L04-II-04	太	tài	Adv	too		[sound:B1.04-04.004.mp3]
B1L04-II-05	舊	jiù	Vs	old		[sound:B1.04-04.005.mp3]
B1L04-II-06	了	le	Ptc	sentence-final particle indicating the speaker's sense of certainty		[sound:B1.04-04.006.mp3]
B1L04-II-07	種	zhǒng	M	kind, type		[sound:B1.04-04.007.mp3]
B1L04-II-08	能	néng	Vaux	can, be able to		[sound:B1.04-04.008.mp3]
B1L04-II-09	上網	shàngwǎng	V-sep	to access the internet, to use the internet		[sound:B1.04-04.009.mp3]
B1L04-II-10	那	nà / nèi	Det	that		[sound:B1.04-04.010.mp3]
B1L04-II-11	貴	guì	Vs	expensive		[sound:B1.04-04.011.mp3]
B1L04-II-12	賣	mài	V	to sell		[sound:B1.04-04.012.mp3]
B1L04-II-13	便宜	piányí	Vs	cheap, inexpensive		[sound:B1.04-04.013.mp3]
B1L04-II-14	要	yào	Vst	to take, to require		[sound:B1.04-04.014.mp3]
B1L04-II-15	萬	wàn	N	ten thousand		[sound:B1.04-04.015.mp3]
B1L04-II-16	千	qiān		thousand		[sound:B1.04-04.016.mp3]
B1L04-II-17	為什麼	wèishénme		why		[sound:B1.04-04.017.mp3]
B1L05-I-01	牛肉	niúròu	N	beef		[sound:B1.05-02.001.mp3]
B1L05-I-02	麵	miàn	N	noodles		[sound:B1.05-02.002.mp3]
B1L05-I-03	真	zhēn	Adv	really		[sound:B1.05-02.003.mp3]
B1L05-I-04	好吃	hǎochī	Vs	delicious		[sound:B1.05-02.004.mp3]
B1L05-I-05	說	shuō	V	say		[sound:B1.05-02.005.mp3]
B1L05-I-06	少	shǎo	Vs-pred	few in number		[sound:B1.05-02.006.mp3]
B1L05-I-07	有名	yǒumíng	Vs	well known, famous		[sound:B1.05-02.007.mp3]
B1L05-I-08	小吃	xiǎochī	N	light repast, snack		[sound:B1.05-02.008.mp3]
B1L05-I-09	最	zuì	Adv	most		[sound:B1.05-02.009.mp3]
B1L05-I-10	湯	tāng	N	soup, broth		[sound:B1.05-02.010.mp3]
B1L05-I-11	這麼	zhème	Adv	so		[sound:B1.05-02.011.mp3]
B1L05-I-12	知道	zhīdào	Vst	to know		[sound:B1.05-02.012.mp3]
B1L05-I-13	家	jiā	M	measure word for restaurants, shops, etc		[sound:B1.05-02.013.mp3]
B1L05-I-14	店	diàn	N	shop, store		[sound:B1.05-02.014.mp3]
B1L05-I-15	一定	yídìng	Adv	really must, definitely		[sound:B1.05-02.015.mp3]
B1L05-I-16	點	diǎn	V	to order (meals)		[sound:B1.05-02.016.mp3]
B1L05-I-17	碗	wǎn	M	a bowl of		[sound:B1.05-02.017.mp3]
B1L05-I-18	是啊	shì a		That's right		[sound:B1.05-02.018.mp3]
B1L05-I-19	小籠包	xiǎolóngbāo		xiaolongbao, e.g., small meat and cabbage-filled steamed buns		[sound:B1.05-02.019.mp3]
B1L05-I-20	臭豆腐	chòu dòufǔ		stinky tofu (fermented tofu)		[sound:B1.05-02.020.mp3]
B1L05-I-21	太好了	tài hǎo le		Excellent. Great		[sound:B1.05-02.021.mp3]
B1L05-II-01	昨天	zuótiān	N	yesterday		[sound:B1.05-04.001.mp3]
B1L05-II-02	餐廳	cāntīng	N	restaurant		[sound:B1.05-04.002.mp3]
B1L05-II-03	可是	kěshì	Conj	but, however		[sound:B1.05-04.003.mp3]
B1L05-II-04	辣	là	Vs	hot (spicy)		[sound:B1.05-04.004.mp3]
B1L05-II-05	怕	pà	Vst	(here) to not like, to fear		[sound:B1.05-04.005.mp3]
B1L05-II-06	所以	suǒyǐ	Conj	therefore, so		[sound:B1.05-04.006.mp3]
B1L05-II-07	自己	zìjǐ	N	self		[sound:B1.05-04.007.mp3]
B1L05-II-08	做飯	zuòfàn	V-sep	to cook		[sound:B1.05-04.008.mp3]
B1L05-II-09	得	de	Ptc	complement marker		[sound:B1.05-04.009.mp3]
B1L05-II-10	會	huì	Vaux	to be able to, can		[sound:B1.05-04.010.mp3]
B1L05-II-11	甜點	tiándiǎn	N	dessert		[sound:B1.05-04.011.mp3]
B1L05-II-12	不錯	búcuò	Vs	not bad		[sound:B1.05-04.012.mp3]
B1L05-II-13	可以	kěyǐ	Vaux	could (possibility)		[sound:B1.05-04.013.mp3]
B1L05-II-14	教	jiāo	V	to teach		[sound:B1.05-04.014.mp3]
B1L05-II-15	到	dào	Prep	to		[sound:B1.05-04.015.mp3]
B1L05-II-16	有一點	yǒu yì diǎn		a little		[sound:B1.05-04.016.mp3]
B1L05-II-17	不好	bù hǎo		not well		[sound:B1.05-04.017.mp3]
B1L06-I-01	他們	tāmen	N	they (used for people only)		[sound:B1.06-02.001.mp3]
B1L06-I-02	學校	xuéxiào	N	school		[sound:B1.06-02.002.mp3]
B1L06-I-03	在	zài	Vst	to be located at		[sound:B1.06-02.003.mp3]
B1L06-I-04	山上	shānshàng	N	on a mountain, in the mountains		[sound:B1.06-02.004.mp3]
B1L06-I-05	哪裡	nǎlǐ	N	where		[sound:B1.06-02.005.mp3]
B1L06-I-06	遠	yuǎn	Vs	far		[sound:B1.06-02.006.mp3]
B1L06-I-07	那裡	nàlǐ	N	that place, there		[sound:B1.06-02.007.mp3]
B1L06-I-08	風景	fēngjǐng	N	scenery, landscape		[sound:B1.06-02.008.mp3]
B1L06-I-09	美	měi	Vs	beautiful		[sound:B1.06-02.009.mp3]
B1L06-I-10	前面	qiánmiàn	N	front		[sound:B1.06-02.010.mp3]
B1L06-I-11	海	hǎi	N	ocean		[sound:B1.06-02.011.mp3]
B1L06-I-12	後面	hòumiàn	N	back		[sound:B1.06-02.012.mp3]
B1L06-I-13	山	shān	N	mountain		[sound:B1.06-02.013.mp3]
B1L06-I-14	真的	zhēnde	Adv	really, truly		[sound:B1.06-02.014.mp3]
B1L06-I-15	地方	dìfāng	N	place		[sound:B1.06-02.015.mp3]
B1L06-I-16	現在	xiànzài	N	now		[sound:B1.06-02.016.mp3]
B1L06-I-17	附近	fùjìn	N	vicinity, near		[sound:B1.06-02.017.mp3]
B1L06-I-18	樓下	lóuxià	N	downstairs		[sound:B1.06-02.018.mp3]
B1L06-I-19	找	zhǎo	V	to meet, to see		[sound:B1.06-02.019.mp3]
B1L06-I-20	朋友	péngyǒu	N	friend		[sound:B1.06-02.020.mp3]
B1L06-I-21	上課	shàngkè	V-sep	to go to class		[sound:B1.06-02.021.mp3]
B1L06-I-22	花蓮	Huālián		name of a city on the eastern coast of Taiwan	Place	[sound:B1.06-02.022.mp3]
B1L06-I-23	聽說	tīngshuō		hear that		[sound:B1.06-02.023.mp3]
B1L06-II-01	近	jìn	Vs	near		[sound:B1.06-04.001.mp3]
B1L06-II-02	方便	fāngbiàn	Vs	convenient		[sound:B1.06-04.002.mp3]
B1L06-II-03	這裡	zhèlǐ	N	here, this place		[sound:B1.06-04.003.mp3]
B1L06-II-04	學生	xuéshēng	N	student		[sound:B1.06-04.004.mp3]
B1L06-II-05	在	zài	Prep	at		[sound:B1.06-04.005.mp3]
B1L06-II-06	東西	dōngxi	N	things, stuff		[sound:B1.06-04.006.mp3]
B1L06-II-07	外面	wàimiàn	N	outside		[sound:B1.06-04.007.mp3]
B1L06-II-08	裡面	lǐmiàn	N	inside		[sound:B1.06-04.008.mp3]
B1L06-II-09	商店	shāngdiàn	N	store, shop		[sound:B1.06-04.009.mp3]
B1L06-II-10	吃飯	chīfàn	V-sep	to have a meal		[sound:B1.06-04.010.mp3]
B1L06-II-11	宿舍	sùshè	N	dormitory		[sound:B1.06-04.011.mp3]
B1L06-II-12	樓	lóu	N	a storey, a floor		[sound:B1.06-04.012.mp3]
B1L06-II-13	棟	dòng	M	measure word for buildings		[sound:B1.06-04.013.mp3]
B1L06-II-14	大樓	dàlóu	N	a multi-storey building		[sound:B1.06-04.014.mp3]
B1L06-II-15	圖書館	túshūguǎn	N	library		[sound:B1.06-04.015.mp3]
B1L06-II-16	旁邊	pángbiān	N	(by the) side, next to		[sound:B1.06-04.016.mp3]
B1L06-II-17	教室	jiàoshì	N	classroom		[sound:B1.06-04.017.mp3]
B1L06-II-18	游泳池	yóuyǒngchí	N	swimming pool		[sound:B1.06-04.018.mp3]
B1L07-I-01	點	diǎn	M	o'clock		[sound:B1.07-02.001.mp3]
B1L07-I-02	KTV			Karaoke	Place	[sound:B1.07-02.002.mp3]
B1L07-I-03	唱歌	chànggē	V-sep	to sing		[sound:B1.07-02.003.mp3]
B1L07-I-04	分	fēn	M	minute		[sound:B1.07-02.004.mp3]
B1L07-I-05	見面	jiànmiàn	V-sep	meet		[sound:B1.07-02.005.mp3]
B1L07-I-06	從	cóng	Prep	from		[sound:B1.07-02.006.mp3]
B1L07-I-07	中午	zhōngwǔ	N	noon		[sound:B1.07-02.007.mp3]
B1L07-I-08	得	děi	Vaux	to have to, must		[sound:B1.07-02.008.mp3]
B1L07-I-09	銀行	yínháng	N	bank		[sound:B1.07-02.009.mp3]
B1L07-I-10	時候	shíhòu	N	when		[sound:B1.07-02.010.mp3]
B1L07-I-11	後天	hòutiān	N	the day after tomorrow		[sound:B1.07-02.011.mp3]
B1L07-I-12	大安	Dà'ān		Da-an (name of a KTV named after a district in Taipei, where Shida is also located.)		[sound:B1.07-02.012.mp3]
B1L07-I-13	下次	xiàcì		next time		[sound:B1.07-02.013.mp3]
B1L07-I-14	沒問題	méi wèntí		No problem		[sound:B1.07-02.014.mp3]
B1L07-I-15	對了	duìle		by the way		[sound:B1.07-02.015.mp3]
B1L07-I-16	有空	yǒu kòng		to have free time		[sound:B1.07-02.016.mp3]
B1L07-I-17	再見	zàijiàn		goodbye		[sound:B1.07-02.017.mp3]
B1L07-II-01	在	zài	Vs	progressive aspect verb; in the process of doing something		[sound:B1.07-04.001.mp3]
B1L07-II-02	午餐	wǔcān	N	lunch		[sound:B1.07-04.002.mp3]
B1L07-II-03	剛	gāng	Adv	just now		[sound:B1.07-04.003.mp3]
B1L07-II-04	下課	xiàkè	V-sep	to finish class		[sound:B1.07-04.004.mp3]
B1L07-II-05	下午	xiàwǔ	N	afternoon		[sound:B1.07-04.005.mp3]
B1L07-II-06	半	bàn	N	half		[sound:B1.07-04.006.mp3]
B1L07-II-07	比賽	bǐsài	N	game, competition		[sound:B1.07-04.007.mp3]
B1L07-II-08	結束	jiéshù	Vp	to finish		[sound:B1.07-04.008.mp3]
B1L07-II-09	最近	zuìjìn	N	recently, lately		[sound:B1.07-04.009.mp3]
B1L07-II-10	忙	máng	Vs	busy		[sound:B1.07-04.010.mp3]
B1L07-II-11	每	měi	Det	every, each		[sound:B1.07-04.011.mp3]
B1L07-II-12	天	tiān	M	Measure word for day		[sound:B1.07-04.012.mp3]
B1L07-II-13	書法	shūfǎ	N	calligraphy		[sound:B1.07-04.013.mp3]
B1L07-II-14	課	kè	N	class		[sound:B1.07-04.014.mp3]
B1L07-II-15	開始	kāishǐ	Vp	to begin, to start		[sound:B1.07-04.015.mp3]
B1L07-II-16	字	zì	N	character		[sound:B1.07-04.016.mp3]
B1L07-II-17	寫	xiě	V	to write		[sound:B1.07-04.017.mp3]
B1L07-II-18	可以	kěyǐ	Vaux	may (permission)		[sound:B1.07-04.018.mp3]
B1L07-II-19	問	wèn	V	to ask		[sound:B1.07-04.019.mp3]
B1L07-II-20	等一下	děng yíxià		later		[sound:B1.07-04.020.mp3]
B1L07-II-21	有事	yǒu shì		to be busy; to be engaged		[sound:B1.07-04.021.mp3]
B1L07-II-22	有意思	yǒu yìsi		to be interesting, to be fun		[sound:B1.07-04.022.mp3]
B1L08-I-01	坐	zuò	V	to take, to travel by		[sound:B1.08-02.001.mp3]
B1L08-I-02	火車	huǒchē	N	train		[sound:B1.08-02.002.mp3]
B1L08-I-03	跟	gēn	Prep	with		[sound:B1.08-02.003.mp3]
B1L08-I-04	玩	wán	V	to have fun		[sound:B1.08-02.004.mp3]
B1L08-I-05	怎麼	zěnme	Adv	how		[sound:B1.08-02.005.mp3]
B1L08-I-06	慢	màn	Vs	slow		[sound:B1.08-02.006.mp3]
B1L08-I-07	鐘頭	zhōngtóu	N	hour		[sound:B1.08-02.007.mp3]
B1L08-I-08	比較	bǐjiào	Adv	(comparatively) more		[sound:B1.08-02.008.mp3]
B1L08-I-09	快	kuài	Vs	fast		[sound:B1.08-02.009.mp3]
B1L08-I-10	車票	chē piào	N	(train, bus) ticket		[sound:B1.08-02.010.mp3]
B1L08-I-11	非常	fēicháng	Adv	very		[sound:B1.08-02.011.mp3]
B1L08-I-12	但是	dànshì	Conj	but, however		[sound:B1.08-02.012.mp3]
B1L08-I-13	又	yòu	Adv	both... and...		[sound:B1.08-02.013.mp3]
B1L08-I-14	舒服	shūfú	Vs	comfortable		[sound:B1.08-02.014.mp3]
B1L08-I-15	站	zhàn	N	station		[sound:B1.08-02.015.mp3]
B1L08-I-16	或是	huòshì	Conj	or		[sound:B1.08-02.016.mp3]
B1L08-I-17	臺南	Táinán		a city in southwestern Taiwan	Place	[sound:B1.08-02.017.mp3]
B1L08-I-18	高鐵	gāotiě		High Speed Rail (HSR)		[sound:B1.08-02.018.mp3]
B1L08-I-19	網路上	wǎnglù shàng		on the Internet		[sound:B1.08-02.019.mp3]
B1L08-I-20	便利商店	biànlì shāngdiàn		convenience store		[sound:B1.08-02.020.mp3]
B1L08-II-01	同學	tóngxué	N	classmate		[sound:B1.08-04.001.mp3]
B1L08-II-02	參觀	cānguān	V	to visit (an institution)		[sound:B1.08-04.002.mp3]
B1L08-II-03	古代	gǔdài	N	ancient times		[sound:B1.08-04.003.mp3]
B1L08-II-04	騎	qí	V	to ride		[sound:B1.08-04.004.mp3]
B1L08-II-05	機車	jīchē	N	motorcycle, scooter		[sound:B1.08-04.005.mp3]
B1L08-II-06	載	zài	V	to give someone a ride (on / in a vehicle, e.g. motorcycle, bicycle or car)		[sound:B1.08-04.006.mp3]
B1L08-II-07	捷運	jiéyùn	N	Mass Rapid Transit (MRT)		[sound:B1.08-04.007.mp3]
B1L08-II-08	比	bǐ	Prep	(more...) than		[sound:B1.08-04.008.mp3]
B1L08-II-09	故宮博物院（故宮）	Gùgōng Bówùyuàn		National Palace Museum		[sound:B1.08-04.009.mp3]
B1L08-II-10	中國	Zhōngguó		China	Place	[sound:B1.08-04.010.mp3]
B1L08-II-11	公共汽車	gōnggòng qìchē		bus		[sound:B1.08-04.011.mp3]
B1L08-II-12	不行	bù xíng		will not do		[sound:B1.08-04.012.mp3]
B1L08-II-13	計程車	jìchéngchē		taxi		[sound:B1.08-04.013.mp3]
B1L08-II-14	差不多	chābùduō		about the same		[sound:B1.08-04.014.mp3]
B1L09-I-01	星期 + number	xīngqí		week (day of the week)		[sound:B1.09-02.001.mp3]
B1L09-I-02	回國	huíguó	V-sep	to return to one's country		[sound:B1.09-02.002.mp3]
B1L09-I-03	打算	dǎsuàn	Vaux	to plan to		[sound:B1.09-02.003.mp3]
B1L09-I-04	電視	diànshì	N	TV		[sound:B1.09-02.004.mp3]
B1L09-I-05	影片	yǐngpiàn	N	film		[sound:B1.09-02.005.mp3]
B1L09-I-06	旅行	lǚxíng	Vi	to travel		[sound:B1.09-02.006.mp3]
B1L09-I-07	功課	gōngkè	N	homework		[sound:B1.09-02.007.mp3]
B1L09-I-08	出去	chūqù	Vi	to go out		[sound:B1.09-02.008.mp3]
