ID	Traditional	Pinyin	POS	Meaning
B1L05-I-01	牛肉	niúròu	N	beef
B1L05-I-02	麵	miàn	N	noodles
B1L05-I-03	真	zhēn	Adv	really
B1L05-I-04	好吃	hǎochī	Vs	delicious
B1L05-I-05	說	shuō	V	say
B1L05-I-06	少	shǎo	Vs-pred	few in number
B1L05-I-07	有名	yǒumíng	Vs	well known, famous
B1L05-I-08	小吃	xiǎochī	N	light repeat, snack
B1L05-I-09	最	zuì	Adv	most
B1L05-I-10	湯	tāng	N	soup, broth
B1L05-I-11	這麼	zhème	Adv	so
B1L05-I-12	知道	zhīdào	Vst	to know
B1L05-I-13	家	jiā	M	measure word for restaurants, shops, etc
B1L05-I-14	店	diàn	N	shop, store
B1L05-I-15	一定	yídìng	Adv	really must, definitely
B1L05-I-16	點	diǎn	V	to order (meals)
B1L05-I-17	碗	wǎn	M	a bowl of
B1L05-I-18	是啊	shìa		That's right
B1L05-I-19	小籠包	xiǎolóngbāo		xiaolongbao, e.g., small meat and cabbage-filled steamed buns
B1L05-I-20	臭豆腐	chòu dòufǔ		stinky tofu (fermented tofu)
B1L05-I-21	太好了	tài hǎo le		Excellent. Great
B1L05-II-01	昨天	zuótiān	N	yesterday
B1L05-II-02	餐廳	cāntīng	N	restaurant
B1L05-II-03	可是	kěshì	Conj	but, however
B1L05-II-04	辣	là	Vs	hot (spicy)
B1L05-II-05	怕	pà	Vst	(here) to not like, to fear
B1L05-II-06	所以	suǒyǐ	Conj	therefore, so
B1L05-II-07	自己	zìjǐ	N	self
B1L05-II-08	做飯	zuòfàn	V-sep	to cook
B1L05-II-09	得	de	Ptc	complement marker
B1L05-II-10	會	huì	Vaux	to be able to, can
B1L05-II-11	甜點	tiándiǎn	N	dessert
B1L05-II-12	不錯	búcuò	Vs	not bad
B1L05-II-13	可以	kěyǐ	Vaux	could (possibility)
B1L05-II-14	教	jiāo	V	to teach
B1L05-II-15	到	dào	Prep	to
B1L05-II-16	有一點	yǒu yì diǎn		a little
B1L05-II-17	不好	bù hǎo		not well
B1L06-I-01	他們	tāmen	N	they (used for people only)
B1L06-I-02	學校	xuéxiào	N	school
B1L06-I-03	在	zài	Vst	to be located at
B1L06-I-04	山上	shānshàng	N	on a mountain, in the mountains
B1L06-I-05	哪裡	nǎlǐ	N	where
B1L06-I-06	遠	yuǎn	Vs	far
B1L06-I-07	那裡	nàlǐ	N	that place, there
B1L06-I-08	風景	fēngjǐng	N	scenery, landscapes
B1L06-I-09	美	měi	Vs	beautiful
B1L06-I-10	前面	qiánmiàn	N	front
B1L06-I-11	海	hǎi	N	ocean
B1L06-I-12	後面	hòumiàn	N	back
B1L06-I-13	山	shān	N	mountain
B1L06-I-14	真的	zhēn de	Adv	really, truly
B1L06-I-15	地方	dìfāng	N	place
B1L06-I-16	現在	xiànzài	N	now
B1L06-I-17	附近	fùjìn	N	vicinity, near
B1L06-I-18	樓下	lóuxià	N	downstairs
B1L06-I-19	找	zhǎo	V	to meet, to see
B1L06-I-20	朋友	péngyǒu	N	friend
B1L06-I-21	上課	shàngkè	V-sep	to go to class
B1L06-I-22	花蓮	Huālián		name of a city on the eastern coast of Taiwan
B1L06-I-23	聽說	tīngshuō		hear that
B1L06-II-01	近	jìn	Vs	near
B1L06-II-02	方便	fāngbiàn	Vs	convenient
B1L06-II-03	這裡	zhèlǐ	N	here, this place
B1L06-II-04	學生	xuéshēng	N	student
B1L06-II-05	在	zài	Prep	at
B1L06-II-06	東西	dōngxi	N	things, stuff
B1L06-II-07	外面	wàimiàn	N	outside
B1L06-II-08	裡面	lǐmiàn	N	inside
B1L06-II-09	商店	shāngdiàn	N	store, shop
B1L06-II-10	吃飯	chīfàn	V-sep	to have a meal
B1L06-II-11	宿舍	sùshè	N	dormitory
B1L06-II-12	樓	lóu	N	a storey, a floor
B1L06-II-13	棟	dòng	M	measure word for buildings
B1L06-II-14	大樓	dàlóu	N	a multi-storey building
B1L06-II-15	圖書館	túshūguǎn	N	library
B1L06-II-16	旁邊	pángbiān	N	(by the) side, next to
B1L06-II-17	教室	jiàoshì	N	classroom
B1L06-II-18	游泳池	yóuyǒngchí	N	swimming pool
B1L07-I-01	點	diǎn	M	o'clock
B1L07-I-02	KTV			I-2
B1L07-I-03	唱歌	chànggē	V-sep	to sing
B1L07-I-04	分	fēn	M	minute
B1L07-I-05	見面	jiànmiàn	V-sep	meet
B1L07-I-06	從	cóng	Prep	from
B1L07-I-07	中午	zhōngwǔ	N	noon
B1L07-I-08	得	děi	Vaux	to have to, must
B1L07-I-09	銀行	yínháng	N	bank
B1L07-I-10	時候	shíhòu	N	when
B1L07-I-11	後天	hòutiān	N	the day after tomorrow
B1L07-I-12	大安	Dà'ān		Daan (name of a KTV named after a district in Taipei, where Shida is also located.)
B1L07-I-13	下次	xiàcì		next time
B1L07-I-14	沒問題	méi wèntí		No problem
B1L07-I-15	對了	duìle		by the way
B1L07-I-16	有空	yǒu kòng		to have free time
B1L07-I-17	再見	zàijiàn		goodbye
B1L07-II-01	在	zài	Vs	progressive aspect verb; in the process of doing something
B1L07-II-02	午餐	wǔcān	N	lunch
B1L07-II-03	剛	gāng	Adv	just now
B1L07-II-04	下課	xiàkè	V-sep	to finish class
B1L07-II-05	下午	xiàwǔ	N	afternoon
B1L07-II-06	半	bàn	N	half
B1L07-II-07	比賽	bǐsài	N	game, competition
B1L07-II-08	結束	jiéshù	Vp	to finish
B1L07-II-09	最近	zuìjìn	N	recently, lately
B1L07-II-10	忙	máng	Vs	busy
B1L07-II-11	每	měi	Det	every, each
B1L07-II-12	天	tiān	M	Measure word for day
B1L07-II-13	書法	shūfǎ	N	calligraphy
B1L07-II-14	課	kè	N	class
B1L07-II-15	開始	kāishǐ	Vp	to begin, to start
B1L07-II-16	字	zì	N	character
B1L07-II-17	寫	xiě	V	to write
B1L07-II-18	可以	kěyǐ	Vaux	may (permission)
B1L07-II-19	問	wèn	V	to ask
B1L07-II-20	等一下	děng yíxià		later
B1L07-II-21	有事	yǒu shì		to be busy; to be engaged
B1L07-II-22	有意思	yǒu yìsi		to be interesting, to be fun
B1L08-I-01	坐	zuò	V	to take by, to travel by
B1L08-I-02	火車	huǒchē	N	train
B1L08-I-03	跟	gēn	Prep	with
B1L08-I-04	玩	wán	V	to have fun
B1L08-I-05	怎麼	zěnme	Adv	how
B1L08-I-06	慢	màn	Vs	slow
B1L08-I-07	鐘頭	zhōngtóu	N	hour
B1L08-I-08	比較	bǐjiào	Adv	(comparatively) more
B1L08-I-09	快	kuài	Vs	fast
B1L08-I-10	車票	chē piào	N	(train, bus) ticket
B1L08-I-11	非常	fēicháng	Adv	very
B1L08-I-12	但是	dànshì	Conj	but, however
B1L08-I-13	又	yòu	Adv	both...and
B1L08-I-14	舒服	shūfú	Vs	comfortable
B1L08-I-15	站	zhàn	N	station
B1L08-I-16	或是	huòshì	Conj	or
B1L08-I-17	臺南	Táinán		a city in southwestern Taiwan
B1L08-I-18	高鐵	Gāotiě		High Speed Rail (HSR)
B1L08-I-19	網路上	wǎnglùshàng		on the Internet
B1L08-I-20	便利商店	biànlìshāngdiàn		convenient store
B1L08-II-01	同學	tóngxué	N	classmate
B1L08-II-02	參觀	cānguān	V	to visit (an institution)
B1L08-II-03	古代	gǔdài	N	ancient times
B1L08-II-04	騎	qí	V	to ride
B1L08-II-05	機車	jīchē	N	motorcycle, scooter
B1L08-II-06	載	zài	V	to give someone a ride (on/ in a vehicle, e.g. motorcycle, bicycle or car)
B1L08-II-07	捷運	jiéyùn	N	Mass Rapid Transit (MRT)
B1L08-II-08	比	bǐ	Prep	(more...) than
B1L08-II-09	故宮博物院	GùgōngBówùyuàn		National Palace Museum
B1L08-II-10	中國	Zhōngguó		China
B1L08-II-11	公共汽車	gōnggòng qìchē		bus
B1L08-II-12	不行	bù xíng		will not do
B1L08-II-13	計程車	jìchéngchē		taxi
B1L08-II-14	差不多	chābùduō		about the same
B1L09-I-02	回國	huíguó	V-sep	to return to one's country
B1L09-I-03	打算	dǎsuàn	Vaux	to plan to
B1L09-I-04	電視	diànshì	N	TV
B1L09-I-05	影片	yǐngpiàn	N	film
B1L09-I-06	旅行	lǚxíng	Vi	to travel
B1L09-I-07	功課	gōngkè	N	homework
B1L09-I-08	出去	chūqù	Vi	to go out
B1L09-I-09	大概	dàgài	Adv	approximately, about, probably
B1L09-I-10	放假	fàngjià		to have a holiday
B1L09-I-11	下個星期	xiàge xīngqí		next week
B1L09-I-12	有時候	yǒushíhòu		sometimes
B1L09-I-13	多久	duō jiǔ		how long
B1L09-I-14	臺東	Táidōng		name of one of the major cities on the southeastern coast of Taiwan
B1L09-II-04	帶	dài	V	to take
B1L09-II-05	她	tā	N	she, her
B1L09-II-06	還	hái	Adv	still, additionally
B1L09-II-07	建議	jiànyì	N	suggestion
B1L09-II-08	夜市	yèshì	N	night market
B1L09-II-09	應該	yīnggāi	Vaux	should
B1L09-II-10	逛	guàng	V	to wander around , to look around
B1L09-II-11	特別	tèbié	Vs	special
B1L09-II-12	茶館	cháguǎn	N	tea house
B1L09-II-13	決定	juédìng	Vp	to decide
B1L09-II-14	要是	yàoshì	Conj	if
B1L09-II-15	就	jiù	Adv	then
B1L09-II-16	貓空	Māokōng		name of a must-see place in Taipei to visit for fine tea and scenery
B1L10-I-01	水果	shuǐguǒ	N	fruit
B1L10-I-02	黃色	huángsè	N	yellow
B1L10-I-03	芒果	mángguǒ	N	mango
B1L10-I-04	給	gěi	V	to give
B1L10-I-05	塊	kuài	M	measure word for pieces of food (e.g. meat, cake)
B1L10-I-06	香	xiāng	Vs	fragrant
B1L10-I-07	甜	tián	Vs	sweet (taste)
B1L10-I-08	紅色	hóngsè	N	red
B1L10-I-09	西瓜	xīguā	N	watermelon
B1L10-I-10	吧	ba	Ptc	sentence-final particle for guessing
B1L10-I-11	對	duì	Vs	correct, right
B1L10-I-12	以前	yǐqián	N	before
B1L10-I-13	機會	jīhuì	N	opportunity
B1L10-I-14	請	qǐng	V	to treat sb to sth
B1L10-I-15	吃吃看	chīchīkàn		to have a taste, try it, taste it
B1L10-II-01	拍	pāi	V	to take (pictures)
B1L10-II-02	笑	xiào	V	to laugh, to smile
B1L10-II-03	開心	kāixīn	Vs	happy
B1L10-II-04	穿	chuān	V	to wear, to put on
B1L10-II-05	衣服	yīfú	N	clothes
B1L10-II-06	旅館	lǚguǎn	N	hotel
B1L10-II-07	太太	tàitai	N	wife
B1L10-II-09	矮	ǎi	Vs	short (height)
B1L10-II-10	高	gāo	Vs	tall
B1L10-II-11	弟弟	dìdi	N	younger brother
B1L10-II-12	乾淨	gānjìng	Vs	clean
B1L10-II-13	窗戶	chuānghù	N	window
B1L10-II-14	往	wǎng	Prep	toward, to
B1L10-II-15	藍色	lánsè	N	blue
B1L10-II-16	因為	yīnwèi	Conj	because
B1L10-II-17	住	zhù	V	to stay
B1L10-II-18	上個月	shàngge yuè		last month
B1L10-II-19	這些	zhèi xiē		these
B1L11-I-01	租	zū	V	to rent
B1L11-I-02	房東	fángdōng	N	landlord
B1L11-I-03	客廳	kètīng	N	living room
B1L11-I-04	廚房	chúfáng	N	kitchen
B1L11-I-05	左邊	zuǒbiān	N	left (side)
B1L11-I-06	右邊	yòubiān	N	right (side)
B1L11-I-07	浴室	yùshì	N	bathroom
B1L11-I-08	超市	chāoshì	N	supermarket
B1L11-I-09	走路	zǒulù	V-sep	to walk
B1L11-I-10	分鐘	fēnzhōng	M	measure word for minutes
B1L11-I-11	就	jiù	Adv	only, merely
B1L11-I-12	到	dào	Vp	arrive
B1L11-I-13	間	jiān	M	measure word for houses, rooms, etc
B1L11-I-14	空	kōng	Vs	vacant, empty
B1L11-I-15	房間	fángjiān	N	room
B1L11-I-16	套房	tàofáng	N	suite
B1L11-I-17	回去	huíqù	Vi	to go back, to return
B1L11-I-18	想	xiǎng	V	to think
B1L11-I-19	再	zài	Adv	and then
B1L11-I-20	電話	diànhuà	N	telephone
B1L11-I-21	給	gěi	Prep	to
B1L11-I-22	林	lín		Chinese last name, common in Taiwan
B1L11-I-23	打電話	dǎ diànhuà		to make a phone call
B1L11-II-01	喂	wéi	Ptc	a particle used in addressing people, especially over the phone
B1L11-II-02	房租	fángzū	N	rent (for a room or a house)
B1L11-II-03	已經	yǐjīng	Adv	already
B1L11-II-04	習慣	xíguàn	Vs	to get settled down, to get used to
B1L11-II-05	問題	wèntí	N	problem, question
B1L11-II-06	熱水器	rèshuǐqì	N	water heater
B1L11-II-07	好像	hǎoxiàng	Adv	to seem to be, to appear to be (often used to take the edge off of a comment)
B1L11-II-08	會	huì	Vaux	will
B1L11-II-09	等	děng	V	to wait for
B1L11-II-10	那	nà	Ptc	then, in that case
B1L11-II-11	裝	zhuāng	V	to install
B1L11-II-12	不過	búguò	Conj	however, but
B1L11-II-13	付	fù	V	to pay
B1L11-II-14	收到	shōudào		to receive
B1L11-II-15	不好意思	bùhǎo yìsi		sorry
B1L11-II-16	沒關係	méi guānxi		Not a problem
B1L11-II-17	有線電視	yǒuxiàn diànshì		cable TV
B1L12-I-01	計畫	jìhuà	V	to plan to
B1L12-I-02	年	nián	M	measure word for year
B1L12-I-03	久	jiǔ	Vs	long (time)
B1L12-I-04	時間	shíjiān	N	time
B1L12-I-05	先	xiān	Adv	first
B1L12-I-06	念	niàn	V	to study
B1L12-I-07	大學	dàxué	N	university
B1L12-I-08	需要	xūyào	Vst	to need
B1L12-I-09	花	huā	V	to spend (time or money)
B1L12-I-10	獎學金	jiǎngxuéjīn	N	scholarship
B1L12-I-11	成績	chéngjī	N	grades
B1L12-I-12	學費	xuéfèi	N	tuition
B1L12-I-13	公司	gōngsī	N	company
B1L12-I-14	替	tì	Prep	for, on behalf of
B1L12-I-15	希望	xīwàng	Vst	to hope
B1L12-I-16	以後	yǐhòu	N	in the future
B1L12-I-17	到	dào	V	to go/ come to
B1L12-I-18	上班	shàngbān	V-sep	to go to work
B1L12-I-19	念書	niànshū	V-sep	to study
B1L12-I-20	累	lèi	Vs	tired
B1L12-I-21	語言中心	yǔyán zhōngxīn		language center
B1L12-I-22	加油	jiāyóu		keep up the good work
B1L12-II-01	工作	gōngzuò	Vi	to work
B1L12-II-02	去年	qùnián	N	last year
B1L12-II-03	做	zuò	V	to do, to engage in
B1L12-II-04	生意	shēngyì	N	business
B1L12-II-05	以後	yǐhòu	N	afterwards
B1L12-II-06	好	hǎo	Vs	easy to
B1L12-II-07	找	zhǎo	V	to look for
B1L12-II-08	工作	gōngzuò	N	job, work
B1L12-II-09	這樣	zhè yàng	N	this kind (of)
B1L12-II-10	國家	guójiā	N	country
B1L12-II-11	試	shì	Vi	to try
B1L12-II-12	難	nán	Vs	hard to, difficult to
B1L12-II-13	那麼	nàme	Ptc	then
B1L12-II-14	再	zài	Adv	again
B1L12-II-15	試試看	shìshìkàn		to give it a try, try and see what happens
B1L13-I-01	生日	shēngrì	N	birthday
B1L13-I-02	快樂	Kuàilè	Vs	happy
B1L13-I-03	回來	huílái	Vi	to come back
B1L13-I-04	啊	à	Ptc	a particle indicating a realization
B1L13-I-05	怎麼	zěnme	Adv	how come?
B1L13-I-06	忘了	wàngle	Vpt	to forget
B1L13-I-07	記得	jìdé	Vst	to remember
B1L13-I-08	當然	dāngrán	Adv	certainly, of course
B1L13-I-09	語言	yǔyán	N	language
B1L13-I-10	交換	jiāohuàn	V	to exchange
B1L13-I-11	那麼	nàme	Adv	so (very)
B1L13-I-12	熱心	rèxīn	Vs	with enthusiasm
B1L13-I-13	西班牙文	Xībānyá wén	N	the Spanish language
B1L13-I-14	一樣	yíyàng	Vs	the same, alike
B1L13-I-15	過	guò	V	to celebrate
B1L13-I-16	左右	zuǒyòu	N	approximately
B1L13-I-17	門口	ménkǒu	N	gate, entrance
B1L13-I-18	西班牙	Xībānyá		Spain
B1L13-I-19	生日快樂	Shēngrì Kuàilè		Happy Birthday
B1L13-I-20	我就是	wǒ jiù shì		(said of self on the phone) This is s/he speaking
B1L13-I-21	好久不見	hǎojiǔ bújiàn		long time no see
B1L13-I-23	太客氣	tài kèqì		That's very kind of you
B1L13-II-01	禮物	lǐwù	N	gift, present
B1L13-II-02	今年	jīnnián	N	this year
B1L13-II-03	訂	dìng	V	to order (something in advance)
B1L13-II-04	了	le	Ptc	verbal particle indicating a completed action
B1L13-II-05	豬腳	zhūjiǎo	N	pork knuckles
B1L13-II-06	麵線	miànxiàn	N	extra thin noodles
B1L13-II-07	蛋	dàn	N	egg
B1L13-II-08	一點	yīdiǎn	Vs	a little, some
B1L13-II-09	傳統	chuántǒng	N	tradition, customs
B1L13-II-10	年輕	niánqīng	Vs	young
B1L13-II-11	蛋糕	dàngāo	N	cake
B1L13-II-12	對	duì	Prep	to
B1L13-II-13	祝	zhù	V	to wish (somebody happiness, good luck, etc.)
B1L13-II-14	哪裡,哪裡	nǎlǐ nǎlǐ		It's my pleasure. Don't mention it.
B1L13-II-15	大部分	dà bùfèn		most (of), mostly
B1L13-II-16	萬事如意	wànshì rúyì		May everything go your way
B1L13-II-17	心想事成	xīnxiǎng shìchéng		May all your wishes come true
B1L14-I-01	天氣	tiānqì	N	weather
B1L14-I-02	冷	lěng	Vs	cold
B1L14-I-03	風	fēng	N	wind
B1L14-I-04	滑雪	huáxuě	V-sep	to ski
B1L14-I-05	春天	chūntiān	N	spring (season)
B1L14-I-06	想	xiǎng	Vst	to miss (someone)
B1L14-I-07	新年	xīnnián	N	New Year
B1L14-I-08	快	kuài	Adv	soon
B1L14-I-09	父母	fùmǔ	N	parents
B1L14-I-10	冬天	dōngtiān	N	winter (season)
B1L14-I-11	明年	míngnián	N	next year
B1L14-I-12	秋天	qiūtiān	N	autumn (season)
B1L14-I-13	紅葉	hóngyè	N	red maple leaves
B1L14-I-14	只	zhǐ	Adv	only, merely
B1L14-I-15	玉山	Yùshān		Yu Shan (Mountain Jade), tallest mountain in central Taiwan
B1L14-I-16	紐約	Niǔyuē		New York
B1L14-I-17	下雪	xiàxuě		to snow
B1L14-I-18	十二月底	shíèryuèdǐ		the end of December
B1L14-II-01	雨	yǔ	N	rain
B1L14-II-02	傘	sǎn	N	umbrella
B1L14-II-03	颱風	táifēng	N	typhoon
B1L14-II-04	要	yào	Adv	will, going to
B1L14-II-05	夏天	xiàtiān	N	summer (season)
B1L14-II-06	濕	shī	Vs	wet
B1L14-II-07	討厭	tǎoyàn	Vs	annoying
B1L14-II-08	新聞	xīnwén	N	news
B1L14-II-09	更	gèng	Adv	even (more, less, etc.)
B1L14-II-10	大家	dàjiā	N	everyone
B1L14-II-11	小心	xiǎoxīn	Vs	to be careful, to take care
B1L14-II-12	可怕	kěpà	Vs	scary
B1L14-II-13	停	tíng	Vp	to stop
B1L14-II-14	下雨	xiàyǔ		to rain
B1L14-II-15	這次	zhè cì		this time
B1L14-II-16	上次	shàng cì		last time
B1L14-II-17	慢走	màn zǒu		Bye. Take care
B1L15-I-01	醫生	yīshēng	N	doctor
B1L15-I-02	一直	yìzhí	Adv	continuously, all the way
B1L15-I-03	流	liú	V	to flow
B1L15-I-04	鼻水	bíshuǐ	N	snot, nasal mucus, a running nose
B1L15-I-05	頭	tóu	N	head
B1L15-I-06	痛	tòng	Vs	painful
B1L15-I-07	胃口	wèikǒu	N	appetite
B1L15-I-08	差	chā	Vs	poor, bad
B1L15-I-09	喉嚨	hóulóng	N	throat
B1L15-I-10	發炎	fāyán	Vp-sep	to be inflamed
B1L15-I-11	生病	shēngbìng	Vp-sep	to fall ill
B1L15-I-12	發燒	fāshāo	Vp-sep	to have a fever
B1L15-I-13	感冒	gǎnmào	Vp	to catch/have a cold
B1L15-I-14	藥	yào	N	medicine
B1L15-I-15	藥局	yàojú	N	pharmacy, drug store
B1L15-I-16	拿	ná	V	to get
B1L15-I-17	把	bǎ	Ptc	disposal marker
B1L15-I-18	水	shuǐ	N	water
