//當代中文/Book 1/L01-I
陈月美[陳月美]	Chén Yuèměi	a woman from Vietnam
多少[多少]	duōshǎo	(N) how much, how many
钱[錢]	qián	(N) money
老板[老闆]	lǎobǎn	(N) store-owner, boss
买[買]	mǎi	(V) to buy
杯[杯]	bēi	(M) cup
热[熱]	rè	(Vs) hot
包子[包子]	bāozi	(N) steamed buns with meat stuffing filling
要[要]	yào	(V) to want, to need
大[大]	dà	(Vs) large
中[中]	zhōng	(Vs-attr) medium
小[小]	xiǎo	(Vs) small
帮[幫]	bāng	(Prep) for
微波[微波]	wéibō	(V) to microwave
百[百]	bǎi	(N) hundred
块[塊]	kuài	(M) measure word for Chinese money
好的[好的]	hǎode	(Ph) OK
外带[外帶]	wàidài	(Ph) take out, to go
内用[內用]	nèiyòng	(Ph) for here
//當代中文/Book 1/L04-II
支[支]	zhī	(M) measure word for cell phones
新[新]	xīn	(Vs) new
手机[手機]	shǒujī	(N) cell phone
太[太]	tài	(Adv) too
旧[舊]	jiù	(Vs) old
了[了]	le	(Ptc) sentence-final particle indicating the speaker's sense of certainty
种[種]	zhǒng	(M) kind, type
能[能]	néng	(Vaux) can, to be able to
上网[上網]	shàngwǎng	(V-sep) to access the internet, to use the internet
那[那]	nà / nèi	(Det) that
贵[貴]	guì	(Vs) expensive
卖[賣]	mài	(V) to sell
便宜[便宜]	piányí	(Vs) cheap, inexpensive
要[要]	yào	(Vst) to take, to require
万[萬]	wàn	(N) ten thousand
千[千]	qiān	(N) thousand
为什么[為什麼]	wèishénme	(Ph) why
//當代中文/Book 1/L05-I
牛肉[牛肉]	niúròu	(N) beef
面[麵]	miàn	(N) noodles
真[真]	zhēn	(Adv) really
好吃[好吃]	hǎochī	(Vs) delicious
说[說]	shuō	(V) say
少[少]	shǎo	(Vs-pred) few in number
有名[有名]	yǒumíng	(Vs) well known, famous
小吃[小吃]	xiǎochī	(N) light repast, snack
最[最]	zuì	(Adv) most
汤[湯]	tāng	(N) soup, broth
这么[這麼]	zhème	(Adv) so
知道[知道]	zhīdào	(Vst) to know
家[家]	jiā	(M) measure word for restaurants, shops, etc.
店[店]	diàn	(N) shop, store
一定[一定]	yídìng	(Adv) really must, definitely
点[點]	diǎn	(V) to order (meals)
碗[碗]	wǎn	(M) a bowl of
是啊[是啊]	shì a	(Ph) That's right.
小笼包[小籠包]	xiǎolóngbāo	(Ph) xiaolongbao, e.g., small meat and cabbage-filled steamed buns
臭豆腐[臭豆腐]	chòu dòufǔ	(Ph) stinky tofu (fermented tofu)
太好了[太好了]	tài hǎo le	(Ph) Excellent. Great.
//當代中文/Book 1/L05-II
昨天[昨天]	zuótiān	(N) yesterday
餐厅[餐廳]	cāntīng	(N) restaurant
可是[可是]	kěshì	(Conj) but, however
辣[辣]	là	(Vs) hot (spicy)
怕[怕]	pà	(Vst) (here) to not like, to fear
所以[所以]	suǒyǐ	(Conj) therefore, so
自己[自己]	zìjǐ	(N) self
做饭[做飯]	zuòfàn	(V-sep) to cook
得[得]	de	(Ptc) complement marker
会[會]	huì	(Vaux) to be able to, can
甜点[甜點]	tiándiǎn	(N) dessert
不错[不錯]	búcuò	(Vs) not bad
可以[可以]	kěyǐ	(Vaux) could (possibility)
教[教]	jiāo	(V) to teach
到[到]	dào	(Prep) to
有一点[有一點]	yǒu yìdiǎn	(Ph) a little
不好[不好]	bù hǎo	(Ph) not well
//當代中文/Book 1/L06-I
他们[他們]	tāmen	(N) they (used for people only)
学校[學校]	xuéxiào	(N) school
在[在]	zài	(Vst) to be located at
山上[山上]	shānshàng	(N) on a mountain, in the mountains
哪里[哪裡]	nǎlǐ	(N) where
远[遠]	yuǎn	(Vs) far
那里[那裡]	nàlǐ	(N) that place, there
风景[風景]	fēngjǐng	(N) scenery, landscape
美[美]	měi	(Vs) beautiful
前面[前面]	qiánmiàn	(N) front
海[海]	hǎi	(N) ocean
后面[後面]	hòumiàn	(N) back
山[山]	shān	(N) mountain
真的[真的]	zhēnde	(Adv) really, truly
地方[地方]	dìfāng	(N) place
现在[現在]	xiànzài	(N) now
附近[附近]	fùjìn	(N) vicinity, near
楼下[樓下]	lóuxià	(N) downstairs
找[找]	zhǎo	(V) to meet, to see
朋友[朋友]	péngyǒu	(N) friend
上课[上課]	shàngkè	(V-sep) to go to class
花莲[花蓮]	Huālián	name of a city on the eastern coast of Taiwan
听说[聽說]	tīngshuō	(Ph) hear that
//當代中文/Book 1/L06-II
近[近]	jìn	(Vs) near
方便[方便]	fāngbiàn	(Vs) convenient
这里[這裡]	zhèlǐ	(N) here, this place
学生[學生]	xuéshēng	(N) student
在[在]	zài	(Prep) at
东西[東西]	dōngxi	(N) things, stuff
外面[外面]	wàimiàn	(N) outside
里面[裡面]	lǐmiàn	(N) inside
商店[商店]	shāngdiàn	(N) store, shop
吃饭[吃飯]	chīfàn	(V-sep) to have a meal
宿舍[宿舍]	sùshè	(N) dormitory
楼[樓]	lóu	(N) a storey, a floor
栋[棟]	dòng	(M) measure word for buildings
大楼[大樓]	dàlóu	(N) a multi-storey building
图书馆[圖書館]	túshūguǎn	(N) library
旁边[旁邊]	pángbiān	(N) (by the) side, next to
教室[教室]	jiàoshì	(N) classroom
游泳池[游泳池]	yóuyǒngchí	(N) swimming pool
//當代中文/Book 1/L07-I
点[點]	diǎn	(M) o'clock
KTV[KTV]	KTV	(N) Karaoke
唱歌[唱歌]	chànggē	(V-sep) to sing
分[分]	fēn	(M) minute
见面[見面]	jiànmiàn	(V-sep) meet
从[從]	cóng	(Prep) from
中午[中午]	zhōngwǔ	(N) noon
得[得]	děi	(Vaux) to have to, must
银行[銀行]	yínháng	(N) bank
时候[時候]	shíhòu	(N) when
后天[後天]	hòutiān	(N) the day after tomorrow
大安[大安]	Dà'ān	Da-an (name of a KTV named after a district in Taipei, where Shida is also located)
下次[下次]	xià cì	(Ph) next time
没问题[沒問題]	méi wèntí	(Ph) No problem.
对了[對了]	duìle	(Ph) by the way
有空[有空]	yǒu kòng	(Ph) to have free time
再见[再見]	zàijiàn	(Ph) Goodbye.
//當代中文/Book 1/L07-II
在[在]	zài	(Vs) progressive aspect verb; in the process of doing something
午餐[午餐]	wǔcān	(N) lunch
刚[剛]	gāng	(Adv) just now
下课[下課]	xiàkè	(V-sep) to finish class
下午[下午]	xiàwǔ	(N) afternoon
半[半]	bàn	(N) half
比赛[比賽]	bǐsài	(N) game, competition
结束[結束]	jiéshù	(Vp) to finish
最近[最近]	zuìjìn	(N) recently, lately
忙[忙]	máng	(Vs) busy
每[每]	měi	(Det) every, each
天[天]	tiān	(M) Measure word for day
书法[書法]	shūfǎ	(N) calligraphy
课[課]	kè	(N) class
开始[開始]	kāishǐ	(Vp) to begin, to start
字[字]	zì	(N) character
写[寫]	xiě	(V) to write
可以[可以]	kěyǐ	(Vaux) may (permission)
问[問]	wèn	(V) to ask
等一下[等一下]	děng yíxià	(Ph) later
有事[有事]	yǒu shì	(Ph) to be busy; to be engaged
有意思[有意思]	yǒu yìsi	(Ph) to be interesting, to be fun
//當代中文/Book 1/L08-I
坐[坐]	zuò	(V) to take by, to travel by
火车[火車]	huǒchē	(N) train
跟[跟]	gēn	(Prep) with
玩[玩]	wán	(V) to have fun
怎么[怎麼]	zěnme	(Adv) how
慢[慢]	màn	(Vs) slow
钟头[鐘頭]	zhōngtóu	(N) hour
比较[比較]	bǐjiào	(Adv) (comparatively) more
快[快]	kuài	(Vs) fast
车票[車票]	chēpiào	(N) (train, bus) ticket
非常[非常]	fēicháng	(Adv) very
但是[但是]	dànshì	(Conj) but, however
又[又]	yòu	(Adv) both...and...
舒服[舒服]	shūfú	(Vs) comfortable
站[站]	zhàn	(N) station
或是[或是]	huòshì	(Conj) or
台南[臺南]	Táinán	a city in southwestern Taiwan
高铁[高鐵]	gāotiě	High Speed Rail (HSR)
网路上[網路上]	wǎnglù shàng	(Ph) on the Internet
便利商店[便利商店]	biànlì shāngdiàn	(Ph) convenience store
//當代中文/Book 1/L08-II
同学[同學]	tóngxué	(N) classmate
参观[參觀]	cānguān	(V) to visit (an institution)
古代[古代]	gǔdài	(N) ancient times
骑[騎]	qí	(V) to ride
机车[機車]	jīchē	(N) motorcycle, scooter
载[載]	zài	(V) to give someone a ride (on / in a vehicle, e.g. motorcycle, bicycle or car)
捷运[捷運]	jiéyùn	(N) Mass Rapid Transit (MRT)
比[比]	bǐ	(Prep) (more...) than
故宫博物院（故宫）[故宮博物院（故宮）]	Gùgōng Bówùyuàn	National Palace Museum
中国[中國]	Zhōngguó	China
公共汽车（公车）[公共汽車（公車）]	gōnggòng qìchē	(Ph) bus
不行[不行]	bù xíng	(Ph) will not do
计程车[計程車]	jìchéngchē	(Ph) taxi
差不多[差不多]	chābùduō	(Ph) about the same
//當代中文/Book 1/L09-I
星期 + number[星期 + number]	xīngqí	(N) week
回国[回國]	huíguó	(V-sep) to return to one's country
打算[打算]	dǎsuàn	(Vaux) to plan to
电视[電視]	diànshì	(N) TV
影片[影片]	yǐngpiàn	(N) film
旅行[旅行]	lǚxíng	(Vi) to travel
功课[功課]	gōngkè	(N) homework
出去[出去]	chūqù	(Vi) to go out
大概[大概]	dàgài	(Adv) approximately, about, probably
放假[放假]	fàngjià	(Ph) to have a holiday
下个星期[下個星期]	xià ge xīngqí	(Ph) next week
有时候[有時候]	yǒu shíhòu	(Ph) sometimes
多久[多久]	duō jiǔ	(Ph) how long
台东[臺東]	Táidōng	name of one of the major cities on the southeastern coast of Taiwan
//當代中文/Book 1/L09-II
女 + noun[女 + noun]	nǚ	(N) girl-, female-
number + 月[number + 月]	yuè	(N) month of a year
number + 号[number + 號]	hào	(N) date, day of a month
带[帶]	dài	(V) to take
她[她]	tā	(N) she, her
还[還]	hái	(Adv) still, additionally
建议[建議]	jiànyì	(N) suggestion
夜市[夜市]	yèshì	(N) night market
应该[應該]	yīnggāi	(Vaux) should
逛[逛]	guàng	(V) to wander around, to look around
特别[特別]	tèbié	(Vs) special
茶馆[茶館]	cháguǎn	(N) tea house
决定[決定]	juédìng	(Vp) to decide
要是[要是]	yàoshì	(Conj) if
就[就]	jiù	(Adv) then
猫空[貓空]	Māokōng	name of a must-see place in Taipei to visit for fine tea and scenery
//當代中文/Book 1/L10-I
水果[水果]	shuǐguǒ	(N) fruit
黄色[黃色]	huángsè	(N) yellow
芒果[芒果]	mángguǒ	(N) mango
给[給]	gěi	(V) to give
块[塊]	kuài	(M) measure word for pieces of food (e.g., meat, cake)
香[香]	xiāng	(Vs) fragrant
甜[甜]	tián	(Vs) sweet (taste)
红色[紅色]	hóngsè	(N) red
西瓜[西瓜]	xīguā	(N) watermelon
吧[吧]	ba	(Ptc) sentence-final particle for guessing
对[對]	duì	(Vs) correct, right
以前[以前]	yǐqián	(N) before
机会[機會]	jīhuì	(N) opportunity
请[請]	qǐng	(V) to treat sb to sth
吃吃看[吃吃看]	chīchīkàn	(Ph) to have a taste, try it, taste it
//當代中文/Book 1/L10-II
拍[拍]	pāi	(V) to take (pictures)
笑[笑]	xiào	(V) to laugh, to smile
开心[開心]	kāixīn	(Vs) happy
穿[穿]	chuān	(V) to wear, to put on
衣服[衣服]	yīfú	(N) clothes
旅馆[旅館]	lǚguǎn	(N) hotel
太太[太太]	tàitai	(N) wife
男 + noun[男 + noun]	nán	(N) boy-, male-
矮[矮]	ǎi	(Vs) short (height)
高[高]	gāo	(Vs) tall
弟弟[弟弟]	dìdi	(N) younger brother
干净[乾淨]	gānjìng	(Vs) clean
窗户[窗戶]	chuānghù	(N) window
往[往]	wǎng	(Prep) toward, to
蓝色[藍色]	lánsè	(N) blue
因为[因為]	yīnwèi	(Conj) because
住[住]	zhù	(V) to stay
上个月[上個月]	shàng ge yuè	(Ph) last month
这些[這些]	zhèxiē	(Ph) these
//當代中文/Book 1/L11-I
租[租]	zū	(V) to rent
房东[房東]	fángdōng	(N) landlord
客厅[客廳]	kètīng	(N) living room
厨房[廚房]	chúfáng	(N) kitchen
左边[左邊]	zuǒbiān	(N) left (side)
右边[右邊]	yòubiān	(N) right (side)
浴室[浴室]	yùshì	(N) bathroom
超市[超市]	chāoshì	(N) supermarket
走路[走路]	zǒulù	(V-sep) to walk
分钟[分鐘]	fēnzhōng	(M) measure word for minutes
就[就]	jiù	(Adv) only, merely
到[到]	dào	(Vp) arrive
间[間]	jiān	(M) measure word for houses, rooms, etc.
空[空]	kōng	(Vs) vacant, empty
房间[房間]	fángjiān	(N) room
套房[套房]	tàofáng	(N) suite
回去[回去]	huíqù	(Vi) to go back, to return
想[想]	xiǎng	(V) to think
再[再]	zài	(Adv) and then
电话[電話]	diànhuà	(N) telephone
给[給]	gěi	(Prep) to
林[林]	Lín	Chinese last name, common in Taiwan
打电话[打電話]	dǎ diànhuà	(Ph) to make a phone call
//當代中文/Book 1/L11-II
喂[喂]	wéi	(Ptc) a particle used in addressing people, especially over the phone
房租[房租]	fángzū	(N) rent (for a room or a house)
已经[已經]	yǐjīng	(Adv) already
习惯[習慣]	xíguàn	(Vs) to get settled down, to get used to
问题[問題]	wèntí	(N) problem, question
热水器[熱水器]	rèshuǐqì	(N) water heater
好像[好像]	hǎoxiàng	(Adv) to seem to be, to appear to be (often used to take the edge off of a comment)
会[會]	huì	(Vaux) will
等[等]	děng	(V) to wait for
那[那]	nà	(Ptc) then, in that case
装[裝]	zhuāng	(V) to install
不过[不過]	búguò	(Conj) however, but
付[付]	fù	(V) to pay
收到[收到]	shōudào	(Ph) to receive
不好意思[不好意思]	bùhǎo yìsi	(Ph) sorry
没关系[沒關係]	méi guānxi	(Ph) Not a problem
有线电视[有線電視]	yǒuxiàn diànshì	(Ph) cable TV
//當代中文/Book 1/L12-I
计划[計畫]	jìhuà	(V) to plan to
年[年]	nián	(M) measure word for year
久[久]	jiǔ	(Vs) long (time)
时间[時間]	shíjiān	(N) time
先[先]	xiān	(Adv) first
念[念]	niàn	(V) to study
大学[大學]	dàxué	(N) university
需要[需要]	xūyào	(Vst) to need
花[花]	huā	(V) to spend (time or money)
奖学金[獎學金]	jiǎngxuéjīn	(N) scholarship
成绩[成績]	chéngjī	(N) grades
学费[學費]	xuéfèi	(N) tuition
公司[公司]	gōngsī	(N) company
替[替]	tì	(Prep) for, on behalf of
希望[希望]	xīwàng	(Vst) to hope
以后[以後]	yǐhòu	(N) in the future
到[到]	dào	(V) to go/come to
上班[上班]	shàngbān	(V-sep) to go to work
念书[念書]	niànshū	(V-sep) to study
累[累]	lèi	(Vs) tired
语言中心[語言中心]	yǔyán zhōngxīn	(Ph) language center
加油[加油]	jiāyóu	(Ph) keep up the good work
//當代中文/Book 1/L12-II
工作[工作]	gōngzuò	(Vi) to work
去年[去年]	qùnián	(N) last year
做[做]	zuò	(V) to do, to engage in
生意[生意]	shēngyì	(N) business
以后[以後]	yǐhòu	(N) afterwards
好[好]	hǎo	(Vs) easy to
找[找]	zhǎo	(V) to look for
工作[工作]	gōngzuò	(N) job, work
这样[這樣]	zhèyàng	(N) this kind (of)
国家[國家]	guójiā	(N) country
试[試]	shì	(Vi) to try
难[難]	nán	(Vs) hard to, difficult to
那么[那麼]	nàme	(Ptc) then
再[再]	zài	(Adv) again
试试看[試試看]	shìshìkàn	(Ph) to give it a try, to try and see what happens
//當代中文/Book 1/L13-I
生日[生日]	shēngrì	(N) birthday
快乐[快樂]	kuàilè	(Vs) happy
回来[回來]	huílái	(Vi) to come back
啊[啊]	a	(Ptc) a particle indicating a realization
怎么[怎麼]	zěnme	(Adv) How come?
忘（了）[忘（了）]	wàngle	(Vpt) to forget
记得[記得]	jìde	(Vst) to remember
当然[當然]	dāngrán	(Adv) certainly, of course
语言[語言]	yǔyán	(N) language
交换[交換]	jiāohuàn	(V) to exchange
那么[那麼]	nàme	(Adv) so (very)
热心[熱心]	rèxīn	(Vs) with enthusiasm
西班牙文[西班牙文]	Xībānyá wén	(N) the Spanish language
一样[一樣]	yíyàng	(Vs) the same, alike
过[過]	guò	(V) to celebrate
左右[左右]	zuǒyòu	(N) approximately
门口[門口]	ménkǒu	(N) gate, entrance
西班牙[西班牙]	Xībānyá	Spain
生日快乐[生日快樂]	shēngrì kuàilè	(Ph) Happy Birthday.
我就是[我就是]	wǒ jiù shì	(Ph) (said of self on the phone) This is s/he speaking.
好久不见[好久不見]	hǎojiǔ bújiàn	(Ph) long time no see
不必客气[不必客氣]	búbì kèqì	(Ph) No need to stand on formalities, i.e., It's my pleasure.
太客气[太客氣]	tài kèqì	(Ph) That's very kind of you.
//當代中文/Book 1/L13-II
礼物[禮物]	lǐwù	(N) gift, present
今年[今年]	jīnnián	(N) this year
订[訂]	dìng	(V) to order (something in advance)
了[了]	le	(Ptc) verbal particle indicating a completed action
猪脚[豬腳]	zhūjiǎo	(N) pork knuckles
面线[麵線]	miànxiàn	(N) extra fine noodles
蛋[蛋]	dàn	(N) egg
一点[一點]	yìdiǎn	(Vs) a little, some
传统[傳統]	chuántǒng	(N) tradition, customs
年轻[年輕]	niánqīng	(Vs) young
蛋糕[蛋糕]	dàngāo	(N) cake
对[對]	duì	(Prep) to
祝[祝]	zhù	(V) to wish (somebody happiness, good luck, etc.)
哪里，哪里[哪裡，哪裡]	Nǎlǐ, nǎlǐ	(Ph) Don't mention it. It's my pleasure.
大部分[大部分]	dà bùfèn	(Ph) most (of), mostly
万事如意[萬事如意]	wànshì rúyì	(Ph) May everything go your way.
心想事成[心想事成]	xīnxiǎng shìchéng	(Ph) May all your wishes come true.
//當代中文/Book 1/L14-I
天气[天氣]	tiānqì	(N) weather
冷[冷]	lěng	(Vs) cold
风[風]	fēng	(N) wind
滑雪[滑雪]	huáxuě	(V-sep) to ski
春天[春天]	chūntiān	(N) spring (season)
想[想]	xiǎng	(Vst) to miss (someone)
新年[新年]	xīnnián	(N) New Year
快[快]	kuài	(Adv) soon
父母[父母]	fùmǔ	(N) parents
冬天[冬天]	dōngtiān	(N) winter (season)
明年[明年]	míngnián	(N) next year
秋天[秋天]	qiūtiān	(N) autumn (season)
红叶[紅葉]	hóngyè	(N) red maple leaves
只[只]	zhǐ	(Adv) only, merely
玉山[玉山]	Yùshān	Yu Shan (Mount Jade), tallest mountain in central Taiwan
纽约[紐約]	Niǔyuē	New York
下雪[下雪]	xiàxuě	(Ph) to snow
十二月底[十二月底]	shí'èryuè dǐ	(Ph) the end of December
//當代中文/Book 1/L14-II
雨[雨]	yǔ	(N) rain
伞[傘]	sǎn	(N) umbrella
台风[颱風]	táifēng	(N) typhoon
要[要]	yào	(Adv) will, going to
夏天[夏天]	xiàtiān	(N) summer (season)
湿[濕]	shī	(Vs) wet
讨厌[討厭]	tǎoyàn	(Vs) annoying
新闻[新聞]	xīnwén	(N) news
更[更]	gèng	(Adv) even (more, less, etc.)
大家[大家]	dàjiā	(N) everyone
小心[小心]	xiǎoxīn	(Vs) to be careful, to take care
可怕[可怕]	kěpà	(Vs) scary
停[停]	tíng	(Vp) to stop
下雨[下雨]	xiàyǔ	(Ph) to rain
这次[這次]	zhè cì	(Ph) this time
上次[上次]	shàng cì	(Ph) last time
慢走[慢走]	màn zǒu	(Ph) Bye. Take care.
//當代中文/Book 1/L15-I
医生[醫生]	yīshēng	(N) doctor
一直[一直]	yìzhí	(Adv) continuously, all the way
流[流]	liú	(V) to flow
鼻水[鼻水]	bíshuǐ	(N) snot, nasal mucus, a running nose
头[頭]	tóu	(N) head
痛[痛]	tòng	(Vs) painful
胃口[胃口]	wèikǒu	(N) appetite
差[差]	chā	(Vs) poor, bad
喉咙[喉嚨]	hóulóng	(N) throat
发炎[發炎]	fāyán	(Vp-sep) to be inflamed
生病[生病]	shēngbìng	(Vp-sep) to fall ill
发烧[發燒]	fāshāo	(Vp-sep) to have a fever
感冒[感冒]	gǎnmào	(Vp) to catch/have a cold
药[藥]	yào	(N) medicine
药局[藥局]	yàojú	(N) pharmacy, drug store
拿[拿]	ná	(V) to get
把[把]	bǎ	(Ptc) disposal marker
水[水]	shuǐ	(N) water
休息[休息]	xiūxí	(Vi) to take a rest
睡觉[睡覺]	shuìjiào	(V-sep) to sleep
早一点[早一點]	zǎo yìdiǎn	(Ph) a bit earlier
//當代中文/Book 1/L15-II
脸色[臉色]	liǎnsè	(N) a person's "color" (said of the face when healthy or sick, pleased or angry etc.)
难看[難看]	nánkàn	(Vs) not to look good
肚子[肚子]	dùzi	(N) stomach, abdomen
吐[吐]	tù	(V) to throw up, to vomit
几[幾]	jǐ	(N) (a) few
次[次]	cì	(M) measure word for times, occurrences
陪[陪]	péi	(V) to go/stay with somebody, to accompany
看病[看病]	kànbìng	(V-sep) to see a doctor
健康[健康]	jiànkāng	(N) health
保险[保險]	bǎoxiǎn	(N) insurance
跟[跟]	gēn	(Prep) to
油[油]	yóu	(Vs) oily, greasy
冰[冰]	bīng	(Vs) icy
别[別]	bié	(Adv) don't (used in imperatives)
关心[關心]	guānxīn	(Vst) to be concerned about
包[包]	bāo	(M) measure word for bags, packages etc.
睡[睡]	shuì	(Vi) to sleep
小时[小時]	xiǎoshí	(N) hour
怎么了[怎麼了]	zěnme le	(Ph) What's wrong?
不用了[不用了]	búyòng le	(Ph) It's not necessary.
健康中心[健康中心]	jiànkāng zhōngxīn	(Ph) health center
回家[回家]	huí jiā	(Ph) go home
最好[最好]	zuìhǎo	(Ph) It would be best.../ (You) should...
//當代中文/Book 2/L01-I
走[走]	zǒu	(Vi) to get to
路人[路人]	lùrén	(N) someone; lit. a person on the street
帮忙[幫忙]	bāngmáng	(V-sep) to help
迷路[迷路]	mílù	(Vp-sep) to be lost, to have lost directions
下[下]	xià	(Det) next
路口[路口]	lùkǒu	(N) intersection
段[段]	duàn	(N) section
过[過]	guò	(V) to go past, to cross
第[第]	dì	(Det) used to indicate ordinal numbers
红绿灯[紅綠燈]	hónglǜdēng	(N) traffic light
告诉[告訴]	gàosù	(V) to tell
提款机[提款機]	tíkuǎnjī	(N) ATM machine
超商[超商]	chāo-shāng	(N) convenience store
应该[應該]	yīnggāi	(Vaux) should; ought to
邮局[郵局]	yóujú	(N) post office
提[提]	tí	(V) to withdraw (money)
那边[那邊]	nàbiān / nèibiān	(N) over there, yonder
