ID	Traditional	Simplified	Pinyin	POS	Meaning	Audio	Variants	Tags
B1L02-I-04	家人	家人	jiārén	N	family (members)	[sound:dangdai-B1L02-I-04.mp3]		
B1L02-I-05	家	家	jiā	N	home, house	[sound:dangdai-B1L02-I-05.mp3]		
B1L02-I-06	漂亮	漂亮	piàoliàng	Vs	pretty	[sound:dangdai-B1L02-I-06.mp3]		
B1L02-I-07	房子	房子	fángzi	N	house	[sound:dangdai-B1L02-I-07.mp3]		
B1L02-I-08	坐	坐	zuò	Vi	to sit	[sound:dangdai-B1L02-I-08.mp3]		
B1L02-I-09	好	好	hǎo	Ptc	OK	[sound:dangdai-B1L02-I-09.mp3]		
B1L02-I-10	有	有	yǒu	Vst	to have	[sound:dangdai-B1L02-I-10.mp3]		
B1L02-I-11	多	多	duō	Vs-pred	many	[sound:dangdai-B1L02-I-11.mp3]		
B1L02-I-12	照片	照片	zhàopiàn	N	photo	[sound:dangdai-B1L02-I-12.mp3]		
B1L02-I-13	都	都	dōu	Adv	all, both	[sound:dangdai-B1L02-I-13.mp3]		
B1L02-I-14	照相	照相	zhàoxiàng	V-sep	to take a photo	[sound:dangdai-B1L02-I-14.mp3]		
B1L02-I-15	張	张	zhāng	M	measure word for flat objects (e.g., paper, tickets)	[sound:dangdai-B1L02-I-15.mp3]		
B1L02-I-16	好看	好看	hǎokàn	Vs	good-looking	[sound:dangdai-B1L02-I-16.mp3]		
B1L02-I-17	誰	谁	shéi	N	who	[sound:dangdai-B1L02-I-17.mp3]		
B1L02-I-18	姐姐	姐姐	jiějie	N	older sister	[sound:dangdai-B1L02-I-18.mp3]		
B1L02-I-19	妹妹	妹妹	mèimei	N	younger sister	[sound:dangdai-B1L02-I-19.mp3]		
B1L02-I-20	爸爸	爸爸	bàba	N	dad	[sound:dangdai-B1L02-I-20.mp3]		
B1L02-I-21	媽媽	妈妈	māma	N	mom	[sound:dangdai-B1L02-I-21.mp3]		
B1L02-I-22	請進	请进	qǐng jìn	Ph	Please come in!	[sound:dangdai-B1L02-I-22.mp3]		
B1L02-II-01	田中誠一	田中诚一	Tiánzhōng Chéngyī		a man from Japan	[sound:dangdai-B1L02-II-01.mp3]		Character Name
B1L02-II-02	伯母	伯母	bómǔ	N	aunt; here a polite term for a friend's mother regardless of age	[sound:dangdai-B1L02-II-02.mp3]		
B1L02-II-03	您	您	nín	N	you (honorific)	[sound:dangdai-B1L02-II-03.mp3]		
B1L02-II-04	名字	名字	míngzi	N	name	[sound:dangdai-B1L02-II-04.mp3]		
B1L02-II-05	書	书	shū	N	book	[sound:dangdai-B1L02-II-05.mp3]		
B1L02-II-06	哥哥	哥哥	gēge	N	older brother	[sound:dangdai-B1L02-II-06.mp3]		
B1L02-II-07	老師	老师	lǎoshī	N	teacher	[sound:dangdai-B1L02-II-07.mp3]		
B1L02-II-08	看書	看书	kànshū	V-sep	to read	[sound:dangdai-B1L02-II-08.mp3]		
B1L02-II-09	幾	几	jǐ	N	how many	[sound:dangdai-B1L02-II-09.mp3]		
B1L02-II-10	個	个	ge	M	general measure word	[sound:dangdai-B1L02-II-10.mp3]		
B1L02-II-11	沒	没	méi	Adv	not	[sound:dangdai-B1L02-II-11.mp3]		
B1L02-II-12	兄弟	兄弟	xiōngdì	N	brothers	[sound:dangdai-B1L02-II-12.mp3]		
B1L02-II-13	姐妹	姐妹	jiěmèi	N	sisters	[sound:dangdai-B1L02-II-13.mp3]		
B1L02-II-14	五	五	wǔ	N	five	[sound:dangdai-B1L02-II-14.mp3]		
B1L02-II-15	兩	两	liǎng	N	two	[sound:dangdai-B1L02-II-15.mp3]		
B1L03-I-01	週末	周末	zhōumò	N	weekend	[sound:dangdai-B1L03-I-01.mp3]		
B1L03-I-02	聽	听	tīng	V	to listen	[sound:dangdai-B1L03-I-02.mp3]		
B1L03-I-03	音樂	音乐	yīnyuè	N	music	[sound:dangdai-B1L03-I-03.mp3]		
B1L03-I-04	運動	运动	yùndòng	Vi	to exercise	[sound:dangdai-B1L03-I-04.mp3]		
B1L03-I-05	打	打	dǎ	V	to play (ball games)	[sound:dangdai-B1L03-I-05.mp3]		
B1L03-I-06	網球	网球	wǎngqiú	N	tennis	[sound:dangdai-B1L03-I-06.mp3]		
B1L03-I-07	棒球	棒球	bàngqiú	N	baseball	[sound:dangdai-B1L03-I-07.mp3]		
B1L03-I-08	和	和	hàn	Conj	and, as well as	[sound:dangdai-B1L03-I-08.mp3]		
B1L03-I-09	游泳	游泳	yóuyǒng	V-sep	to swim	[sound:dangdai-B1L03-I-09.mp3]		
B1L03-I-10	常	常	cháng	Adv	often	[sound:dangdai-B1L03-I-10.mp3]		
B1L03-I-11	籃球	篮球	lánqiú	N	basketball	[sound:dangdai-B1L03-I-11.mp3]		
B1L03-I-12	也	也	yě	Adv	also	[sound:dangdai-B1L03-I-12.mp3]		
B1L03-I-13	踢	踢	tī	V	to kick	[sound:dangdai-B1L03-I-13.mp3]		
B1L03-I-14	足球	足球	zúqiú	N	soccer	[sound:dangdai-B1L03-I-14.mp3]		
B1L03-I-15	覺得	觉得	juéde	Vst	to feel, to think	[sound:dangdai-B1L03-I-15.mp3]		
B1L03-I-16	好玩	好玩	hǎowán	Vs	interesting, fun	[sound:dangdai-B1L03-I-16.mp3]		
B1L03-I-17	明天	明天	míngtiān	N	tomorrow	[sound:dangdai-B1L03-I-17.mp3]		
B1L03-I-18	早上	早上	zǎoshàng	N	morning	[sound:dangdai-B1L03-I-18.mp3]		
B1L03-I-19	去	去	qù	V	to go	[sound:dangdai-B1L03-I-19.mp3]		
B1L03-I-20	怎麼樣	怎么样	zěnmeyàng	Vs	How about it? How does that sound? What do you think?	[sound:dangdai-B1L03-I-20.mp3]		
B1L03-I-21	啊	啊	a	Ptc	sentence-final particle	[sound:dangdai-B1L03-I-21.mp3]		
B1L03-I-22	做什麼	做什么	zuò shénme	Ph	do what	[sound:dangdai-B1L03-I-22.mp3]		
B1L03-I-23	好啊	好啊	hǎo a	Ph	OK	[sound:dangdai-B1L03-I-23.mp3]		
B1L03-II-01	白如玉	白如玉	Bái Rúyù		a woman from the US	[sound:dangdai-B1L03-II-01.mp3]		Character Name
B1L03-II-02	今天	今天	jīntiān	N	today	[sound:dangdai-B1L03-II-02.mp3]		
B1L03-II-03	晚上	晚上	wǎnshàng	N	evening, night	[sound:dangdai-B1L03-II-03.mp3]		
B1L03-II-04	看	看	kàn	V	to see, to watch	[sound:dangdai-B1L03-II-04.mp3]		
B1L03-II-05	電影	电影	diànyǐng	N	movie	[sound:dangdai-B1L03-II-05.mp3]		
B1L03-II-06	妳	妳	nǐ	N	you (female)	[sound:dangdai-B1L03-II-06.mp3]		
B1L03-II-07	想	想	xiǎng	Vaux	to want, to think	[sound:dangdai-B1L03-II-07.mp3]		
B1L03-II-08	還是	还是	háishì	Conj	or (used in a question)	[sound:dangdai-B1L03-II-08.mp3]		
B1L03-II-09	吧	吧	ba	Ptc	sentence-final particle for suggestion	[sound:dangdai-B1L03-II-09.mp3]		
B1L03-II-10	可以	可以	kěyǐ	Vaux	could (possibility)	[sound:dangdai-B1L03-II-10.mp3]		
B1L03-II-11	學	学	xué	V	to learn, to study	[sound:dangdai-B1L03-II-11.mp3]		
B1L03-II-12	中文	中文	Zhōngwén	N	Chinese language	[sound:dangdai-B1L03-II-12.mp3]		
B1L03-II-13	一起	一起	yìqǐ	Adv	together	[sound:dangdai-B1L03-II-13.mp3]		
B1L03-II-14	吃	吃	chī	V	to eat	[sound:dangdai-B1L03-II-14.mp3]		
B1L03-II-15	晚飯	晚饭	wǎnfàn	N	dinner	[sound:dangdai-B1L03-II-15.mp3]		
B1L03-II-16	菜	菜	cài	N	cuisine	[sound:dangdai-B1L03-II-16.mp3]		
B1L03-II-17	越南	越南	Yuènán		Vietnam	[sound:dangdai-B1L03-II-17.mp3]		Name
B1L03-II-18	好不好	好不好	hǎo bù hǎo	Ph	How about...? How does that sound?	[sound:dangdai-B1L03-II-18.mp3]		
B1L04-I-01	一共	一共	yígòng	Adv	altogether	[sound:dangdai-B1L04-I-01.mp3]		
B1L04-I-02	多少	多少	duōshǎo	N	how much, how many	[sound:dangdai-B1L04-I-02.mp3]		
B1L04-I-03	錢	钱	qián	N	money	[sound:dangdai-B1L04-I-03.mp3]		
B1L04-I-04	老闆	老板	lǎobǎn	N	store-owner, boss	[sound:dangdai-B1L04-I-04.mp3]		
B1L04-I-05	買	买	mǎi	V	to buy	[sound:dangdai-B1L04-I-05.mp3]		
B1L04-I-06	杯	杯	bēi	M	cup	[sound:dangdai-B1L04-I-06.mp3]		
B1L04-I-07	熱	热	rè	Vs	hot	[sound:dangdai-B1L04-I-07.mp3]		
B1L04-I-08	包子	包子	bāozi	N	steamed buns with meat stuffing filling	[sound:dangdai-B1L04-I-08.mp3]		
B1L04-I-09	要	要	yào	V	to want, to need	[sound:dangdai-B1L04-I-09.mp3]		
B1L04-I-10	大	大	dà	Vs	large	[sound:dangdai-B1L04-I-10.mp3]		
B1L04-I-11	中	中	zhōng	Vs-attr	medium	[sound:dangdai-B1L04-I-11.mp3]		
B1L04-I-12	小	小	xiǎo	Vs	small	[sound:dangdai-B1L04-I-12.mp3]		
B1L04-I-13	幫	帮	bāng	Prep	for	[sound:dangdai-B1L04-I-13.mp3]		
B1L04-I-14	微波	微波	wéibō	V	to microwave	[sound:dangdai-B1L04-I-14.mp3]		
B1L04-I-15	百	百	bǎi	N	hundred	[sound:dangdai-B1L04-I-15.mp3]		
B1L04-I-16	塊	块	kuài	M	measure word for Chinese money	[sound:dangdai-B1L04-I-16.mp3]		
B1L04-I-17	好的	好的	hǎode	Ph	OK	[sound:dangdai-B1L04-I-17.mp3]		
B1L04-I-18	外帶	外带	wàidài	Ph	take out, to go	[sound:dangdai-B1L04-I-18.mp3]		
B1L04-I-19	內用	内用	nèiyòng	Ph	for here	[sound:dangdai-B1L04-I-19.mp3]		
B1L04-II-01	支	支	zhī	M	measure word for cell phones	[sound:dangdai-B1L04-II-01.mp3]		
B1L04-II-02	新	新	xīn	Vs	new	[sound:dangdai-B1L04-II-02.mp3]		
B1L04-II-03	手機	手机	shǒujī	N	cell phone	[sound:dangdai-B1L04-II-03.mp3]		
B1L04-II-04	太	太	tài	Adv	too	[sound:dangdai-B1L04-II-04.mp3]		
B1L04-II-05	舊	旧	jiù	Vs	old	[sound:dangdai-B1L04-II-05.mp3]		
B1L04-II-06	了	了	le	Ptc	sentence-final particle indicating the speaker's sense of certainty	[sound:dangdai-B1L04-II-06.mp3]		
B1L04-II-07	種	种	zhǒng	M	kind, type	[sound:dangdai-B1L04-II-07.mp3]		
B1L04-II-08	能	能	néng	Vaux	can, to be able to	[sound:dangdai-B1L04-II-08.mp3]		
B1L04-II-09	上網	上网	shàngwǎng	V-sep	to access the internet, to use the internet	[sound:dangdai-B1L04-II-09.mp3]		
B1L04-II-10	那	那	nà / nèi	Det	that	[sound:dangdai-B1L04-II-10.mp3]	那 [nà] / 那 [nèi]	
B1L04-II-11	貴	贵	guì	Vs	expensive	[sound:dangdai-B1L04-II-11.mp3]		
B1L04-II-12	賣	卖	mài	V	to sell	[sound:dangdai-B1L04-II-12.mp3]		
B1L04-II-13	便宜	便宜	piányí	Vs	cheap, inexpensive	[sound:dangdai-B1L04-II-13.mp3]		
B1L04-II-14	要	要	yào	Vst	to take, to require	[sound:dangdai-B1L04-II-14.mp3]		
B1L04-II-15	萬	万	wàn	N	ten thousand	[sound:dangdai-B1L04-II-15.mp3]		
B1L04-II-16	千	千	qiān	N	thousand	[sound:dangdai-B1L04-II-16.mp3]		
B1L04-II-17	為什麼	为什么	wèishénme	Ph	why	[sound:dangdai-B1L04-II-17.mp3]		
B1L05-I-01	牛肉	牛肉	niúròu	N	beef	[sound:dangdai-B1L05-I-01.mp3]		
B1L05-I-02	麵	面	miàn	N	noodles	[sound:dangdai-B1L05-I-02.mp3]		
B1L05-I-03	真	真	zhēn	Adv	really	[sound:dangdai-B1L05-I-03.mp3]		
B1L05-I-04	好吃	好吃	hǎochī	Vs	delicious	[sound:dangdai-B1L05-I-04.mp3]		
B1L05-I-05	說	说	shuō	V	say	[sound:dangdai-B1L05-I-05.mp3]		
B1L05-I-06	少	少	shǎo	Vs-pred	few in number	[sound:dangdai-B1L05-I-06.mp3]		
B1L05-I-07	有名	有名	yǒumíng	Vs	well known, famous	[sound:dangdai-B1L05-I-07.mp3]		
B1L05-I-08	小吃	小吃	xiǎochī	N	light repast, snack	[sound:dangdai-B1L05-I-08.mp3]		
B1L05-I-09	最	最	zuì	Adv	most	[sound:dangdai-B1L05-I-09.mp3]		
B1L05-I-10	湯	汤	tāng	N	soup, broth	[sound:dangdai-B1L05-I-10.mp3]		
B1L05-I-11	這麼	这么	zhème	Adv	so	[sound:dangdai-B1L05-I-11.mp3]		
B1L05-I-12	知道	知道	zhīdào	Vst	to know	[sound:dangdai-B1L05-I-12.mp3]		
B1L05-I-13	家	家	jiā	M	measure word for restaurants, shops, etc.	[sound:dangdai-B1L05-I-13.mp3]		
B1L05-I-14	店	店	diàn	N	shop, store	[sound:dangdai-B1L05-I-14.mp3]		
B1L05-I-15	一定	一定	yídìng	Adv	really must, definitely	[sound:dangdai-B1L05-I-15.mp3]		
B1L05-I-16	點	点	diǎn	V	to order (meals)	[sound:dangdai-B1L05-I-16.mp3]		
B1L05-I-17	碗	碗	wǎn	M	a bowl of	[sound:dangdai-B1L05-I-17.mp3]		
B1L05-I-18	是啊	是啊	shì a	Ph	That's right.	[sound:dangdai-B1L05-I-18.mp3]		
B1L05-I-19	小籠包	小笼包	xiǎolóngbāo	Ph	xiaolongbao, e.g., small meat and cabbage-filled steamed buns	[sound:dangdai-B1L05-I-19.mp3]		
B1L05-I-20	臭豆腐	臭豆腐	chòu dòufǔ	Ph	stinky tofu (fermented tofu)	[sound:dangdai-B1L05-I-20.mp3]		
B1L05-I-21	太好了	太好了	tài hǎo le	Ph	Excellent. Great.	[sound:dangdai-B1L05-I-21.mp3]		
B1L05-II-01	昨天	昨天	zuótiān	N	yesterday	[sound:dangdai-B1L05-II-01.mp3]		
B1L05-II-02	餐廳	餐厅	cāntīng	N	restaurant	[sound:dangdai-B1L05-II-02.mp3]		
B1L05-II-03	可是	可是	kěshì	Conj	but, however	[sound:dangdai-B1L05-II-03.mp3]		
B1L05-II-04	辣	辣	là	Vs	hot (spicy)	[sound:dangdai-B1L05-II-04.mp3]		
B1L05-II-05	怕	怕	pà	Vst	(here) to not like, to fear	[sound:dangdai-B1L05-II-05.mp3]		
B1L05-II-06	所以	所以	suǒyǐ	Conj	therefore, so	[sound:dangdai-B1L05-II-06.mp3]		
B1L05-II-07	自己	自己	zìjǐ	N	self	[sound:dangdai-B1L05-II-07.mp3]		
B1L05-II-08	做飯	做饭	zuòfàn	V-sep	to cook	[sound:dangdai-B1L05-II-08.mp3]		
B1L05-II-09	得	得	de	Ptc	complement marker	[sound:dangdai-B1L05-II-09.mp3]		
B1L05-II-10	會	会	huì	Vaux	to be able to, can	[sound:dangdai-B1L05-II-10.mp3]		
B1L05-II-11	甜點	甜点	tiándiǎn	N	dessert	[sound:dangdai-B1L05-II-11.mp3]		
B1L05-II-12	不錯	不错	búcuò	Vs	not bad	[sound:dangdai-B1L05-II-12.mp3]		
B1L05-II-13	可以	可以	kěyǐ	Vaux	could (possibility)	[sound:dangdai-B1L05-II-13.mp3]		
B1L05-II-14	教	教	jiāo	V	to teach	[sound:dangdai-B1L05-II-14.mp3]		
B1L05-II-15	到	到	dào	Prep	to	[sound:dangdai-B1L05-II-15.mp3]		
B1L05-II-16	有一點	有一点	yǒu yìdiǎn	Ph	a little	[sound:dangdai-B1L05-II-16.mp3]		
B1L05-II-17	不好	不好	bù hǎo	Ph	not well	[sound:dangdai-B1L05-II-17.mp3]		
B1L06-I-01	他們	他们	tāmen	N	they (used for people only)	[sound:dangdai-B1L06-I-01.mp3]		
B1L06-I-02	學校	学校	xuéxiào	N	school	[sound:dangdai-B1L06-I-02.mp3]		
B1L06-I-03	在	在	zài	Vst	to be located at	[sound:dangdai-B1L06-I-03.mp3]		
B1L06-I-04	山上	山上	shānshàng	N	on a mountain, in the mountains	[sound:dangdai-B1L06-I-04.mp3]		
B1L06-I-05	哪裡	哪里	nǎlǐ	N	where	[sound:dangdai-B1L06-I-05.mp3]		
B1L06-I-06	遠	远	yuǎn	Vs	far	[sound:dangdai-B1L06-I-06.mp3]		
B1L06-I-07	那裡	那里	nàlǐ	N	that place, there	[sound:dangdai-B1L06-I-07.mp3]		
B1L06-I-08	風景	风景	fēngjǐng	N	scenery, landscape	[sound:dangdai-B1L06-I-08.mp3]		
B1L06-I-09	美	美	měi	Vs	beautiful	[sound:dangdai-B1L06-I-09.mp3]		
B1L06-I-10	前面	前面	qiánmiàn	N	front	[sound:dangdai-B1L06-I-10.mp3]		
B1L06-I-11	海	海	hǎi	N	ocean	[sound:dangdai-B1L06-I-11.mp3]		
B1L06-I-12	後面	后面	hòumiàn	N	back	[sound:dangdai-B1L06-I-12.mp3]		
B1L06-I-13	山	山	shān	N	mountain	[sound:dangdai-B1L06-I-13.mp3]		
B1L06-I-14	真的	真的	zhēnde	Adv	really, truly	[sound:dangdai-B1L06-I-14.mp3]		
B1L06-I-15	地方	地方	dìfāng	N	place	[sound:dangdai-B1L06-I-15.mp3]		
B1L06-I-16	現在	现在	xiànzài	N	now	[sound:dangdai-B1L06-I-16.mp3]		
B1L06-I-17	附近	附近	fùjìn	N	vicinity, near	[sound:dangdai-B1L06-I-17.mp3]		
B1L06-I-18	樓下	楼下	lóuxià	N	downstairs	[sound:dangdai-B1L06-I-18.mp3]		
B1L06-I-19	找	找	zhǎo	V	to meet, to see	[sound:dangdai-B1L06-I-19.mp3]		
B1L06-I-20	朋友	朋友	péngyǒu	N	friend	[sound:dangdai-B1L06-I-20.mp3]		
B1L06-I-21	上課	上课	shàngkè	V-sep	to go to class	[sound:dangdai-B1L06-I-21.mp3]		
B1L06-I-22	花蓮	花莲	Huālián		name of a city on the eastern coast of Taiwan	[sound:dangdai-B1L06-I-22.mp3]		Name
B1L06-I-23	聽說	听说	tīngshuō	Ph	hear that	[sound:dangdai-B1L06-I-23.mp3]		
B1L06-II-01	近	近	jìn	Vs	near	[sound:dangdai-B1L06-II-01.mp3]		
B1L06-II-02	方便	方便	fāngbiàn	Vs	convenient	[sound:dangdai-B1L06-II-02.mp3]		
B1L06-II-03	這裡	这里	zhèlǐ	N	here, this place	[sound:dangdai-B1L06-II-03.mp3]		
B1L06-II-04	學生	学生	xuéshēng	N	student	[sound:dangdai-B1L06-II-04.mp3]		
B1L06-II-05	在	在	zài	Prep	at	[sound:dangdai-B1L06-II-05.mp3]		
B1L06-II-06	東西	东西	dōngxi	N	things, stuff	[sound:dangdai-B1L06-II-06.mp3]		
B1L06-II-07	外面	外面	wàimiàn	N	outside	[sound:dangdai-B1L06-II-07.mp3]		
B1L06-II-08	裡面	里面	lǐmiàn	N	inside	[sound:dangdai-B1L06-II-08.mp3]		
B1L06-II-09	商店	商店	shāngdiàn	N	store, shop	[sound:dangdai-B1L06-II-09.mp3]		
B1L06-II-10	吃飯	吃饭	chīfàn	V-sep	to have a meal	[sound:dangdai-B1L06-II-10.mp3]		
B1L06-II-11	宿舍	宿舍	sùshè	N	dormitory	[sound:dangdai-B1L06-II-11.mp3]		
B1L06-II-12	樓	楼	lóu	N	a storey, a floor	[sound:dangdai-B1L06-II-12.mp3]		
B1L06-II-13	棟	栋	dòng	M	measure word for buildings	[sound:dangdai-B1L06-II-13.mp3]		
B1L06-II-14	大樓	大楼	dàlóu	N	a multi-storey building	[sound:dangdai-B1L06-II-14.mp3]		
B1L06-II-15	圖書館	图书馆	túshūguǎn	N	library	[sound:dangdai-B1L06-II-15.mp3]		
B1L06-II-16	旁邊	旁边	pángbiān	N	(by the) side, next to	[sound:dangdai-B1L06-II-16.mp3]		
B1L06-II-17	教室	教室	jiàoshì	N	classroom	[sound:dangdai-B1L06-II-17.mp3]		
B1L06-II-18	游泳池	游泳池	yóuyǒngchí	N	swimming pool	[sound:dangdai-B1L06-II-18.mp3]		
B1L07-I-01	點	点	diǎn	M	o'clock	[sound:dangdai-B1L07-I-01.mp3]		
B1L07-I-02	KTV	KTV	KTV	N	Karaoke	[sound:dangdai-B1L07-I-02.mp3]		
B1L07-I-03	唱歌	唱歌	chànggē	V-sep	to sing	[sound:dangdai-B1L07-I-03.mp3]		
B1L07-I-04	分	分	fēn	M	minute	[sound:dangdai-B1L07-I-04.mp3]		
B1L07-I-05	見面	见面	jiànmiàn	V-sep	meet	[sound:dangdai-B1L07-I-05.mp3]		
B1L07-I-06	從	从	cóng	Prep	from	[sound:dangdai-B1L07-I-06.mp3]		
B1L07-I-07	中午	中午	zhōngwǔ	N	noon	[sound:dangdai-B1L07-I-07.mp3]		
B1L07-I-08	得	得	děi	Vaux	to have to, must	[sound:dangdai-B1L07-I-08.mp3]		
B1L07-I-09	銀行	银行	yínháng	N	bank	[sound:dangdai-B1L07-I-09.mp3]		
B1L07-I-10	時候	时候	shíhòu	N	when	[sound:dangdai-B1L07-I-10.mp3]		
B1L07-I-11	後天	后天	hòutiān	N	the day after tomorrow	[sound:dangdai-B1L07-I-11.mp3]		
B1L07-I-12	大安	大安	Dà'ān		Da-an (name of a KTV named after a district in Taipei, where Shida is also located)	[sound:dangdai-B1L07-I-12.mp3]		Name
B1L07-I-13	下次	下次	xià cì	Ph	next time	[sound:dangdai-B1L07-I-13.mp3]		
B1L07-I-14	沒問題	没问题	méi wèntí	Ph	No problem.	[sound:dangdai-B1L07-I-14.mp3]		
B1L07-I-15	對了	对了	duìle	Ph	by the way	[sound:dangdai-B1L07-I-15.mp3]		
B1L07-I-16	有空	有空	yǒu kòng	Ph	to have free time	[sound:dangdai-B1L07-I-16.mp3]		
B1L07-I-17	再見	再见	zàijiàn	Ph	Goodbye.	[sound:dangdai-B1L07-I-17.mp3]		
B1L07-II-01	在	在	zài	Vs	progressive aspect verb; in the process of doing something	[sound:dangdai-B1L07-II-01.mp3]		
B1L07-II-02	午餐	午餐	wǔcān	N	lunch	[sound:dangdai-B1L07-II-02.mp3]		
B1L07-II-03	剛	刚	gāng	Adv	just now	[sound:dangdai-B1L07-II-03.mp3]		
B1L07-II-04	下課	下课	xiàkè	V-sep	to finish class	[sound:dangdai-B1L07-II-04.mp3]		
B1L07-II-05	下午	下午	xiàwǔ	N	afternoon	[sound:dangdai-B1L07-II-05.mp3]		
